[PokaPoka @ 884741ms/45s/7m/20h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 657245ms/48s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(627.0-618)] with expected peak @ (x:627.0, y:100)
[PokaPoka @ 688159ms/48s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(630.0-618)] with expected peak @ (x:630.0, y:100)
[PokaPoka @ 718116ms/48s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-616)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 744520ms/48s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(636.0-612)] with expected peak @ (x:636.0, y:100)
[PokaPoka @ 777468ms/48s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(639.0-606)] with expected peak @ (x:639.0, y:100)
[PokaPoka @ 810348ms/48s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(642.0-598)] with expected peak @ (x:642.0, y:100)
[PokaPoka @ 853160ms/48s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(645.0-588)] with expected peak @ (x:645.0, y:100)
[PokaPoka @ 886073ms/48s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(648.0-576)] with expected peak @ (x:648.0, y:100)
[PokaPoka @ 921976ms/48s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(651.0-562)] with expected peak @ (x:651.0, y:100)
[PokaPoka @ 960885ms/48s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(654.0-546)] with expected peak @ (x:654.0, y:100)
[PokaPoka @ 999781ms/48s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(657.0-528)] with expected peak @ (x:657.0, y:100)
[PokaPoka @ 71424ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(753.0-668)] with expected peak @ (x:753.0, y:100)
[PokaPoka @ 104361ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(756.0-668)] with expected peak @ (x:756.0, y:100)
[PokaPoka @ 142232ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(759.0-666)] with expected peak @ (x:759.0, y:100)
[PokaPoka @ 182124ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(762.0-662)] with expected peak @ (x:762.0, y:100)
[PokaPoka @ 211045ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(765.0-656)] with expected peak @ (x:765.0, y:100)
[PokaPoka @ 245958ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(768.0-648)] with expected peak @ (x:768.0, y:100)
[PokaPoka @ 276872ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-638)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 317764ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-626)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 357654ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-612)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 393558ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-596)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 425472ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-578)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 458384ms/50s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-558)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 203428ms/51s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(822.0-626)] with expected peak @ (x:822.0, y:100)
[PokaPoka @ 241329ms/51s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(825.0-626)] with expected peak @ (x:825.0, y:100)
[PokaPoka @ 273245ms/51s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(828.0-624)] with expected peak @ (x:828.0, y:100)
[PokaPoka @ 313135ms/51s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(831.0-620)] with expected peak @ (x:831.0, y:100)
[PokaPoka @ 347081ms/51s/7m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(834.0-614)] with expected peak @ (x:834.0, y:100)
