[PokaPoka @ 445666ms/16s/5m/13h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 778609ms/17s/5m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(783.0-668)] with expected peak @ (x:783.0, y:100)
[PokaPoka @ 797531ms/17s/5m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(783.0-668)] with expected peak @ (x:783.0, y:100)
[PokaPoka @ 817605ms/17s/5m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(783.0-668)] with expected peak @ (x:783.0, y:100)
[PokaPoka @ 832562ms/17s/5m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(783.0-668)] with expected peak @ (x:783.0, y:100)
[PokaPoka @ 849518ms/17s/5m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(783.0-668)] with expected peak @ (x:783.0, y:100)
[PokaPoka @ 867542ms/17s/5m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(783.0-668)] with expected peak @ (x:783.0, y:100)
[PokaPoka @ 885358ms/17s/5m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(783.0-668)] with expected peak @ (x:783.0, y:100)
[PokaPoka @ 910846ms/17s/5m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(783.0-668)] with expected peak @ (x:783.0, y:100)
[PokaPoka @ 931655ms/17s/5m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(783.0-668)] with expected peak @ (x:783.0, y:100)
[PokaPoka @ 951636ms/17s/5m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(783.0-668)] with expected peak @ (x:783.0, y:100)
[PokaPoka @ 974655ms/17s/5m/13h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(783.0-668)] with expected peak @ (x:783.0, y:100)
