[PokaPoka @ 451553ms/9s/34m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 505306ms/10s/34m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 469737ms/11s/34m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(1) --> removed from inventory
[PokaPoka @ 136739ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(281.0-718)] with expected peak @ (x:281.0, y:100)
[PokaPoka @ 150999ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(278.0-718)] with expected peak @ (x:278.0, y:100)
[PokaPoka @ 165968ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(275.0-716)] with expected peak @ (x:275.0, y:100)
[PokaPoka @ 181930ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(272.0-712)] with expected peak @ (x:272.0, y:100)
[PokaPoka @ 197163ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(269.0-706)] with expected peak @ (x:269.0, y:100)
[PokaPoka @ 210128ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(266.0-698)] with expected peak @ (x:266.0, y:100)
[PokaPoka @ 223097ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(263.0-688)] with expected peak @ (x:263.0, y:100)
[PokaPoka @ 236060ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(260.0-676)] with expected peak @ (x:260.0, y:100)
[PokaPoka @ 253043ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(257.0-662)] with expected peak @ (x:257.0, y:100)
[PokaPoka @ 267973ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(254.0-646)] with expected peak @ (x:254.0, y:100)
[PokaPoka @ 284928ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(251.0-628)] with expected peak @ (x:251.0, y:100)
[PokaPoka @ 424592ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(221.0-620)] with expected peak @ (x:221.0, y:100)
[PokaPoka @ 439632ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(218.0-620)] with expected peak @ (x:218.0, y:100)
[PokaPoka @ 452602ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(215.0-618)] with expected peak @ (x:215.0, y:100)
[PokaPoka @ 466558ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(212.0-614)] with expected peak @ (x:212.0, y:100)
[PokaPoka @ 481983ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(212.0-608)] with expected peak @ (x:212.0, y:100)
[PokaPoka @ 494951ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(212.0-600)] with expected peak @ (x:212.0, y:100)
[PokaPoka @ 507880ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(212.0-590)] with expected peak @ (x:212.0, y:100)
[PokaPoka @ 521844ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(212.0-578)] with expected peak @ (x:212.0, y:100)
[PokaPoka @ 534806ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(212.0-564)] with expected peak @ (x:212.0, y:100)
[PokaPoka @ 550548ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(212.0-548)] with expected peak @ (x:212.0, y:100)
[PokaPoka @ 564665ms/14s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(212.0-530)] with expected peak @ (x:212.0, y:100)
[PokaPoka @ 538474ms/17s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(173.0-718)] with expected peak @ (x:173.0, y:100)
[PokaPoka @ 551464ms/17s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(173.0-718)] with expected peak @ (x:173.0, y:100)
[PokaPoka @ 566424ms/17s/34m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(173.0-716)] with expected peak @ (x:173.0, y:100)
