[PokaPoka @ 769871ms/37s/58m/10h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 699840ms/39s/58m/10h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 246128ms/43s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(707.0-252)] with expected peak @ (x:707.0, y:100)
[PokaPoka @ 259099ms/43s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(707.0-210)] with expected peak @ (x:707.0, y:100)
[PokaPoka @ 131933ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(728.0-166)] with expected peak @ (x:728.0, y:100)
[PokaPoka @ 144969ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(731.0-166)] with expected peak @ (x:731.0, y:100)
[PokaPoka @ 157936ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(734.0-164)] with expected peak @ (x:734.0, y:100)
[PokaPoka @ 171897ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(737.0-160)] with expected peak @ (x:737.0, y:100)
[PokaPoka @ 184863ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(740.0-154)] with expected peak @ (x:740.0, y:100)
[PokaPoka @ 199823ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(743.0-146)] with expected peak @ (x:743.0, y:100)
[PokaPoka @ 215779ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(746.0-136)] with expected peak @ (x:746.0, y:100)
[PokaPoka @ 230445ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(746.0-124)] with expected peak @ (x:746.0, y:100)
[PokaPoka @ 243383ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(746.0-110)] with expected peak @ (x:746.0, y:100)
[PokaPoka @ 256386ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(746.0-94)] with expected peak @ (x:746.0, y:100)
[PokaPoka @ 269347ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(746.0-76)] with expected peak @ (x:746.0, y:100)
[PokaPoka @ 283275ms/46s/58m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(746.0-56)] with expected peak @ (x:746.0, y:100)
[PokaPoka @ 14860ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-679)] with expected peak @ (x:584, y:100)
[PokaPoka @ 28171ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-679)] with expected peak @ (x:584, y:100)
[PokaPoka @ 41138ms/9s/59m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584-677)] with expected peak @ (x:584, y:100)
