[PokaPoka @ 227926ms/56s/5m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 35701ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-700)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 48667ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-700)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 62628ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-698)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 77588ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-694)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 91550ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-688)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 105100ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-680)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 118067ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-670)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 131037ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-658)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 143993ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-644)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 158955ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-628)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 172963ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-610)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 185900ms/57s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-590)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 427927ms/58s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-678)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 442978ms/58s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-678)] with expected peak @ (x:602.0, y:100)
[PokaPoka @ 457856ms/58s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599.0-676)] with expected peak @ (x:599.0, y:100)
[PokaPoka @ 471820ms/58s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-672)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 484785ms/58s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-666)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 498754ms/58s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-658)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 512745ms/58s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-648)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 527669ms/58s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-636)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 542299ms/58s/5m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(581.0-622)] with expected peak @ (x:581.0, y:100)
