[PokaPoka @ 791744ms/14s/0m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 256849ms/15s/0m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 270256ms/15s/0m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 286088ms/15s/0m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-666)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 303135ms/15s/0m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-662)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 320012ms/15s/0m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-656)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 335811ms/15s/0m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-648)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 351828ms/15s/0m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-638)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 369129ms/15s/0m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-626)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 384912ms/15s/0m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-612)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 400736ms/15s/0m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-596)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 417293ms/15s/0m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-578)] with expected peak @ (x:500.0, y:100)
