[PokaPoka @ 434764ms/39s/45m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 757195ms/40s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(522.0-668)] with expected peak @ (x:522.0, y:100)
[PokaPoka @ 778780ms/40s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(519.0-668)] with expected peak @ (x:519.0, y:100)
[PokaPoka @ 803472ms/40s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(516.0-666)] with expected peak @ (x:516.0, y:100)
[PokaPoka @ 827655ms/40s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(513.0-662)] with expected peak @ (x:513.0, y:100)
[PokaPoka @ 851613ms/40s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(510.0-656)] with expected peak @ (x:510.0, y:100)
[PokaPoka @ 878666ms/40s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(507.0-648)] with expected peak @ (x:507.0, y:100)
[PokaPoka @ 904695ms/40s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(504.0-638)] with expected peak @ (x:504.0, y:100)
[PokaPoka @ 933903ms/40s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(501.0-626)] with expected peak @ (x:501.0, y:100)
[PokaPoka @ 956912ms/40s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(498.0-612)] with expected peak @ (x:498.0, y:100)
[PokaPoka @ 985929ms/40s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(495.0-596)] with expected peak @ (x:495.0, y:100)
[PokaPoka @ 8843ms/41s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(492.0-578)] with expected peak @ (x:492.0, y:100)
[PokaPoka @ 980189ms/41s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(405.0-668)] with expected peak @ (x:405.0, y:100)
[PokaPoka @ 14008ms/42s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(402.0-668)] with expected peak @ (x:402.0, y:100)
[PokaPoka @ 52800ms/42s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(399.0-666)] with expected peak @ (x:399.0, y:100)
[PokaPoka @ 81683ms/42s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(396.0-662)] with expected peak @ (x:396.0, y:100)
[PokaPoka @ 112283ms/42s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(393.0-656)] with expected peak @ (x:393.0, y:100)
[PokaPoka @ 145816ms/42s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(390.0-648)] with expected peak @ (x:390.0, y:100)
[PokaPoka @ 179768ms/42s/45m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(387.0-638)] with expected peak @ (x:387.0, y:100)
