[PokaPoka @ 386508ms/4s/5m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 634788ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 650745ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 667699ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-666)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 684813ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-662)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 700773ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-656)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 716939ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-648)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 733895ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-638)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 750813ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-626)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 767803ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-612)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 784758ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-596)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 800681ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-578)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 817634ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-558)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 917789ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-538)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 933812ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-538)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 950819ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-536)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 966705ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-532)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 983230ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-526)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 999983ms/4s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-518)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 16580ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-508)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 34260ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-496)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 50893ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-482)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 66994ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-466)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 83581ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-448)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 99959ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-428)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 116429ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-406)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 722031ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-671)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 738586ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-671)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 754823ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-669)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 771421ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-665)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 788127ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-659)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 804793ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-651)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 822576ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-641)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 838732ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-629)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 855660ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-615)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 872487ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-599)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 888242ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-581)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 904821ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-561)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 939076ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-539)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 955491ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-539)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 971018ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-537)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 987629ms/5s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-533)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 5027ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-527)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 22519ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-519)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 38984ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-509)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 53670ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-497)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 71019ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-483)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 87390ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-467)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 102149ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-449)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 117821ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-429)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 151028ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-407)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 166714ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-407)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 183255ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-405)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 198743ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-401)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 215590ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-395)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 233370ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-387)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 250512ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-377)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 265765ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-365)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 282154ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-351)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 298391ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-335)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 313935ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-317)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 329917ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-297)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 363190ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-275)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 378682ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-275)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 395086ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-273)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 411552ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-269)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 428029ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-263)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 444547ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-255)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 460932ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-245)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 477639ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-233)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 496308ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-219)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 511063ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-203)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 527594ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-185)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 544098ms/6s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-165)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 65014ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(503.0-353)] with expected peak @ (x:503.0, y:100)
[PokaPoka @ 82159ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-353)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 98424ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(509.0-351)] with expected peak @ (x:509.0, y:100)
[PokaPoka @ 113801ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(512.0-347)] with expected peak @ (x:512.0, y:100)
[PokaPoka @ 130207ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-341)] with expected peak @ (x:515.0, y:100)
[PokaPoka @ 146704ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-333)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 162984ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(521.0-323)] with expected peak @ (x:521.0, y:100)
[PokaPoka @ 181206ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-311)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 196580ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-297)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 213120ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-281)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 228802ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(533.0-263)] with expected peak @ (x:533.0, y:100)
[PokaPoka @ 245366ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(536.0-243)] with expected peak @ (x:536.0, y:100)
[PokaPoka @ 261440ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(539.0-221)] with expected peak @ (x:539.0, y:100)
[PokaPoka @ 276813ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(542.0-197)] with expected peak @ (x:542.0, y:100)
[PokaPoka @ 408592ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(566.0-177)] with expected peak @ (x:566.0, y:100)
[PokaPoka @ 425310ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(569.0-177)] with expected peak @ (x:569.0, y:100)
[PokaPoka @ 442194ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(572.0-175)] with expected peak @ (x:572.0, y:100)
[PokaPoka @ 458601ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(575.0-171)] with expected peak @ (x:575.0, y:100)
[PokaPoka @ 476243ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(578.0-165)] with expected peak @ (x:578.0, y:100)
[PokaPoka @ 492173ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(581.0-157)] with expected peak @ (x:581.0, y:100)
[PokaPoka @ 509118ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-147)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 525487ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-135)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 541152ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-121)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 556665ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-105)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 573421ms/7s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-87)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 108733ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(695.0-292)] with expected peak @ (x:695.0, y:100)
[PokaPoka @ 125983ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(698.0-292)] with expected peak @ (x:698.0, y:100)
[PokaPoka @ 142054ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(701.0-290)] with expected peak @ (x:701.0, y:100)
[PokaPoka @ 158273ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(704.0-286)] with expected peak @ (x:704.0, y:100)
[PokaPoka @ 173813ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(707.0-280)] with expected peak @ (x:707.0, y:100)
[PokaPoka @ 191088ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(710.0-272)] with expected peak @ (x:710.0, y:100)
[PokaPoka @ 206644ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(713.0-262)] with expected peak @ (x:713.0, y:100)
[PokaPoka @ 224077ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(716.0-250)] with expected peak @ (x:716.0, y:100)
[PokaPoka @ 239580ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(719.0-236)] with expected peak @ (x:719.0, y:100)
[PokaPoka @ 256769ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(722.0-220)] with expected peak @ (x:722.0, y:100)
[PokaPoka @ 273432ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(725.0-202)] with expected peak @ (x:725.0, y:100)
[PokaPoka @ 291190ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(728.0-182)] with expected peak @ (x:728.0, y:100)
[PokaPoka @ 306353ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(731.0-160)] with expected peak @ (x:731.0, y:100)
[PokaPoka @ 323377ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(734.0-136)] with expected peak @ (x:734.0, y:100)
[PokaPoka @ 338190ms/8s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(737.0-110)] with expected peak @ (x:737.0, y:100)
[PokaPoka @ 9738ms/9s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(650.0-443)] with expected peak @ (x:650.0, y:100)
[PokaPoka @ 25533ms/9s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(647.0-443)] with expected peak @ (x:647.0, y:100)
[PokaPoka @ 42432ms/9s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(644.0-441)] with expected peak @ (x:644.0, y:100)
[PokaPoka @ 57683ms/9s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(641.0-437)] with expected peak @ (x:641.0, y:100)
[PokaPoka @ 74194ms/9s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(638.0-431)] with expected peak @ (x:638.0, y:100)
[PokaPoka @ 91148ms/9s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(635.0-423)] with expected peak @ (x:635.0, y:100)
[PokaPoka @ 106376ms/9s/5m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(632.0-413)] with expected peak @ (x:632.0, y:100)
