[PokaPoka @ 967315ms/9s/49m/14h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 164808ms/11s/49m/14h, 27d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 879385ms/11s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-668)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 899280ms/11s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(560.0-668)] with expected peak @ (x:560.0, y:100)
[PokaPoka @ 920223ms/11s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(563.0-666)] with expected peak @ (x:563.0, y:100)
[PokaPoka @ 946156ms/11s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(566.0-662)] with expected peak @ (x:566.0, y:100)
[PokaPoka @ 969095ms/11s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(569.0-656)] with expected peak @ (x:569.0, y:100)
[PokaPoka @ 989042ms/11s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(572.0-648)] with expected peak @ (x:572.0, y:100)
[PokaPoka @ 10989ms/12s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(575.0-638)] with expected peak @ (x:575.0, y:100)
[PokaPoka @ 30932ms/12s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(578.0-626)] with expected peak @ (x:578.0, y:100)
[PokaPoka @ 50923ms/12s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(581.0-612)] with expected peak @ (x:581.0, y:100)
[PokaPoka @ 70870ms/12s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-596)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 92818ms/12s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-578)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 888985ms/12s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(632.0-668)] with expected peak @ (x:632.0, y:100)
[PokaPoka @ 909941ms/12s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(629.0-668)] with expected peak @ (x:629.0, y:100)
[PokaPoka @ 930874ms/12s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(626.0-666)] with expected peak @ (x:626.0, y:100)
[PokaPoka @ 962788ms/12s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(623.0-662)] with expected peak @ (x:623.0, y:100)
[PokaPoka @ 982734ms/12s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(620.0-656)] with expected peak @ (x:620.0, y:100)
[PokaPoka @ 1689ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-648)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 20637ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(614.0-638)] with expected peak @ (x:614.0, y:100)
[PokaPoka @ 39585ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(611.0-626)] with expected peak @ (x:611.0, y:100)
[PokaPoka @ 59595ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-612)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 78513ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-596)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 97469ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-578)] with expected peak @ (x:602.0, y:100)
[PokaPoka @ 600084ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-668)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 623024ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-668)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 642981ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-666)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 662916ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(521.0-662)] with expected peak @ (x:521.0, y:100)
[PokaPoka @ 682893ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-656)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 700815ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-648)] with expected peak @ (x:515.0, y:100)
[PokaPoka @ 720761ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(512.0-638)] with expected peak @ (x:512.0, y:100)
[PokaPoka @ 741712ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(509.0-626)] with expected peak @ (x:509.0, y:100)
[PokaPoka @ 760655ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-612)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 779606ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(503.0-596)] with expected peak @ (x:503.0, y:100)
[PokaPoka @ 798559ms/13s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-578)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 283257ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-668)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 302244ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(425.0-668)] with expected peak @ (x:425.0, y:100)
[PokaPoka @ 321192ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-666)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 341115ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(419.0-662)] with expected peak @ (x:419.0, y:100)
[PokaPoka @ 360101ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(416.0-656)] with expected peak @ (x:416.0, y:100)
[PokaPoka @ 379000ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-648)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 398982ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(410.0-638)] with expected peak @ (x:410.0, y:100)
[PokaPoka @ 418927ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-626)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 445831ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-612)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 472750ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(401.0-596)] with expected peak @ (x:401.0, y:100)
[PokaPoka @ 492738ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(398.0-578)] with expected peak @ (x:398.0, y:100)
[PokaPoka @ 978600ms/14s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(326.0-668)] with expected peak @ (x:326.0, y:100)
[PokaPoka @ 2570ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(323.0-668)] with expected peak @ (x:323.0, y:100)
[PokaPoka @ 21521ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(320.0-666)] with expected peak @ (x:320.0, y:100)
[PokaPoka @ 40435ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(317.0-662)] with expected peak @ (x:317.0, y:100)
[PokaPoka @ 61414ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(314.0-656)] with expected peak @ (x:314.0, y:100)
[PokaPoka @ 79366ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(311.0-648)] with expected peak @ (x:311.0, y:100)
[PokaPoka @ 100305ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(308.0-638)] with expected peak @ (x:308.0, y:100)
[PokaPoka @ 119261ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(305.0-626)] with expected peak @ (x:305.0, y:100)
[PokaPoka @ 138178ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(302.0-612)] with expected peak @ (x:302.0, y:100)
[PokaPoka @ 159127ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(299.0-596)] with expected peak @ (x:299.0, y:100)
[PokaPoka @ 178111ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(296.0-578)] with expected peak @ (x:296.0, y:100)
[PokaPoka @ 663778ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(224.0-668)] with expected peak @ (x:224.0, y:100)
[PokaPoka @ 682762ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(221.0-668)] with expected peak @ (x:221.0, y:100)
[PokaPoka @ 701674ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(218.0-666)] with expected peak @ (x:218.0, y:100)
[PokaPoka @ 723648ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(215.0-662)] with expected peak @ (x:215.0, y:100)
[PokaPoka @ 742566ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(212.0-656)] with expected peak @ (x:212.0, y:100)
[PokaPoka @ 763507ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(209.0-648)] with expected peak @ (x:209.0, y:100)
[PokaPoka @ 782459ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(206.0-638)] with expected peak @ (x:206.0, y:100)
[PokaPoka @ 801407ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(203.0-626)] with expected peak @ (x:203.0, y:100)
[PokaPoka @ 821354ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(200.0-612)] with expected peak @ (x:200.0, y:100)
[PokaPoka @ 841303ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(197.0-596)] with expected peak @ (x:197.0, y:100)
[PokaPoka @ 860253ms/15s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(194.0-578)] with expected peak @ (x:194.0, y:100)
[PokaPoka @ 340422ms/16s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(251.0-668)] with expected peak @ (x:251.0, y:100)
[PokaPoka @ 360375ms/16s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(254.0-668)] with expected peak @ (x:254.0, y:100)
[PokaPoka @ 380372ms/16s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(257.0-666)] with expected peak @ (x:257.0, y:100)
[PokaPoka @ 400282ms/16s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(260.0-662)] with expected peak @ (x:260.0, y:100)
[PokaPoka @ 419229ms/16s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(263.0-656)] with expected peak @ (x:263.0, y:100)
[PokaPoka @ 439183ms/16s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(266.0-648)] with expected peak @ (x:266.0, y:100)
[PokaPoka @ 463111ms/16s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(269.0-638)] with expected peak @ (x:269.0, y:100)
[PokaPoka @ 492040ms/16s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(272.0-626)] with expected peak @ (x:272.0, y:100)
[PokaPoka @ 515983ms/16s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(275.0-612)] with expected peak @ (x:275.0, y:100)
[PokaPoka @ 535949ms/16s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(278.0-596)] with expected peak @ (x:278.0, y:100)
[PokaPoka @ 557867ms/16s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(281.0-578)] with expected peak @ (x:281.0, y:100)
[PokaPoka @ 63961ms/17s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(353.0-668)] with expected peak @ (x:353.0, y:100)
[PokaPoka @ 85930ms/17s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(356.0-668)] with expected peak @ (x:356.0, y:100)
[PokaPoka @ 106840ms/17s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(359.0-666)] with expected peak @ (x:359.0, y:100)
[PokaPoka @ 127787ms/17s/49m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(362.0-662)] with expected peak @ (x:362.0, y:100)
