[PokaPoka @ 648400ms/26s/25m/16h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 77647ms/27s/25m/16h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(5) --> removed from inventory
[PokaPoka @ 336296ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-679)] with expected peak @ (x:692, y:100)
[PokaPoka @ 353416ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-677)] with expected peak @ (x:692, y:100)
[PokaPoka @ 370446ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-673)] with expected peak @ (x:692, y:100)
[PokaPoka @ 386808ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-667)] with expected peak @ (x:692, y:100)
[PokaPoka @ 403434ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-659)] with expected peak @ (x:692, y:100)
[PokaPoka @ 420158ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-649)] with expected peak @ (x:692, y:100)
[PokaPoka @ 436286ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-637)] with expected peak @ (x:692, y:100)
[PokaPoka @ 453486ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-623)] with expected peak @ (x:692, y:100)
[PokaPoka @ 470157ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-607)] with expected peak @ (x:692, y:100)
[PokaPoka @ 486263ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-589)] with expected peak @ (x:692, y:100)
[PokaPoka @ 880314ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-669)] with expected peak @ (x:692, y:100)
[PokaPoka @ 897236ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-667)] with expected peak @ (x:692, y:100)
[PokaPoka @ 913454ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-663)] with expected peak @ (x:692, y:100)
[PokaPoka @ 928708ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-657)] with expected peak @ (x:692, y:100)
[PokaPoka @ 944751ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-649)] with expected peak @ (x:692, y:100)
[PokaPoka @ 961317ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-639)] with expected peak @ (x:692, y:100)
[PokaPoka @ 978482ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-627)] with expected peak @ (x:692, y:100)
[PokaPoka @ 994980ms/28s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-613)] with expected peak @ (x:692, y:100)
[PokaPoka @ 10246ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-597)] with expected peak @ (x:692, y:100)
[PokaPoka @ 28195ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-579)] with expected peak @ (x:692, y:100)
[PokaPoka @ 208055ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-571)] with expected peak @ (x:692, y:100)
[PokaPoka @ 223390ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-569)] with expected peak @ (x:692, y:100)
[PokaPoka @ 239886ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-565)] with expected peak @ (x:692, y:100)
[PokaPoka @ 255676ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-559)] with expected peak @ (x:692, y:100)
[PokaPoka @ 270536ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-551)] with expected peak @ (x:692, y:100)
[PokaPoka @ 289103ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-541)] with expected peak @ (x:692, y:100)
[PokaPoka @ 304393ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-529)] with expected peak @ (x:692, y:100)
[PokaPoka @ 321808ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-515)] with expected peak @ (x:692, y:100)
[PokaPoka @ 337517ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-499)] with expected peak @ (x:692, y:100)
[PokaPoka @ 353939ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-481)] with expected peak @ (x:692, y:100)
[PokaPoka @ 890154ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-671)] with expected peak @ (x:692, y:100)
[PokaPoka @ 907213ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-669)] with expected peak @ (x:692, y:100)
[PokaPoka @ 922597ms/29s/25m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(109-165-68), size(50-50) @ pos(692-665)] with expected peak @ (x:692, y:100)
