[PokaPoka @ 414710ms/35s/59m/7h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 694771ms/41s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(780.0-668)] with expected peak @ (x:780.0, y:100)
[PokaPoka @ 709745ms/41s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(777.0-668)] with expected peak @ (x:777.0, y:100)
[PokaPoka @ 727830ms/41s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(774.0-666)] with expected peak @ (x:774.0, y:100)
[PokaPoka @ 743763ms/41s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-662)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 760692ms/41s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-656)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 777936ms/41s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-648)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 795727ms/41s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-638)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 812046ms/41s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-626)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 830068ms/41s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-612)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 845475ms/41s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-596)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 863144ms/41s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(771.0-578)] with expected peak @ (x:771.0, y:100)
[PokaPoka @ 271355ms/42s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(828.0-668)] with expected peak @ (x:828.0, y:100)
[PokaPoka @ 289350ms/42s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(831.0-668)] with expected peak @ (x:831.0, y:100)
[PokaPoka @ 305981ms/42s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(834.0-666)] with expected peak @ (x:834.0, y:100)
[PokaPoka @ 321916ms/42s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(837.0-662)] with expected peak @ (x:837.0, y:100)
[PokaPoka @ 336909ms/42s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(840.0-656)] with expected peak @ (x:840.0, y:100)
[PokaPoka @ 355875ms/42s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(843.0-648)] with expected peak @ (x:843.0, y:100)
[PokaPoka @ 372836ms/42s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(846.0-638)] with expected peak @ (x:846.0, y:100)
[PokaPoka @ 387860ms/42s/59m/7h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(849.0-626)] with expected peak @ (x:849.0, y:100)
