[PokaPoka @ 156513ms/0s/32m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 884924ms/5s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(437.0-650)] with expected peak @ (x:437.0, y:100)
[PokaPoka @ 900979ms/5s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(434.0-650)] with expected peak @ (x:434.0, y:100)
[PokaPoka @ 917138ms/5s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(431.0-648)] with expected peak @ (x:431.0, y:100)
[PokaPoka @ 933497ms/5s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-644)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 950436ms/5s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(425.0-638)] with expected peak @ (x:425.0, y:100)
[PokaPoka @ 967078ms/5s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-630)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 983520ms/5s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-620)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 999751ms/5s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-608)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 16656ms/6s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-594)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 31667ms/6s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-578)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 48517ms/6s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-560)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 864306ms/6s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-650)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 880664ms/6s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(431.0-650)] with expected peak @ (x:431.0, y:100)
[PokaPoka @ 897458ms/6s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(434.0-648)] with expected peak @ (x:434.0, y:100)
[PokaPoka @ 914329ms/6s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(437.0-644)] with expected peak @ (x:437.0, y:100)
[PokaPoka @ 930653ms/6s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(440.0-638)] with expected peak @ (x:440.0, y:100)
[PokaPoka @ 947459ms/6s/32m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(443.0-630)] with expected peak @ (x:443.0, y:100)
