[PokaPoka @ 347402ms/47s/17m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 880736ms/13s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(536.0-668)] with expected peak @ (x:536.0, y:100)
[PokaPoka @ 897035ms/13s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(533.0-668)] with expected peak @ (x:533.0, y:100)
[PokaPoka @ 912231ms/13s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-666)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 928782ms/13s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-662)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 944762ms/13s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-656)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 960443ms/13s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(521.0-648)] with expected peak @ (x:521.0, y:100)
[PokaPoka @ 977124ms/13s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-638)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 994683ms/13s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-626)] with expected peak @ (x:515.0, y:100)
[PokaPoka @ 10362ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(512.0-612)] with expected peak @ (x:512.0, y:100)
[PokaPoka @ 27077ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(509.0-596)] with expected peak @ (x:509.0, y:100)
[PokaPoka @ 44689ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-578)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 434856ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(434.0-668)] with expected peak @ (x:434.0, y:100)
[PokaPoka @ 449498ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(431.0-668)] with expected peak @ (x:431.0, y:100)
[PokaPoka @ 466131ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-666)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 484601ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(425.0-662)] with expected peak @ (x:425.0, y:100)
[PokaPoka @ 499574ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-656)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 515655ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(419.0-648)] with expected peak @ (x:419.0, y:100)
[PokaPoka @ 531304ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(416.0-638)] with expected peak @ (x:416.0, y:100)
[PokaPoka @ 548685ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-626)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 564666ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(410.0-612)] with expected peak @ (x:410.0, y:100)
[PokaPoka @ 580227ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-596)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 596965ms/14s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-578)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 7669ms/15s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-668)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 22748ms/15s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-668)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 39635ms/15s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-666)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 55700ms/15s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-662)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 71893ms/15s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-656)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 87340ms/15s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-648)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 104018ms/15s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-638)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 119558ms/15s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(368.0-626)] with expected peak @ (x:368.0, y:100)
[PokaPoka @ 136109ms/15s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(371.0-612)] with expected peak @ (x:371.0, y:100)
[PokaPoka @ 152386ms/15s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(371.0-596)] with expected peak @ (x:371.0, y:100)
[PokaPoka @ 168718ms/15s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(374.0-578)] with expected peak @ (x:374.0, y:100)
[PokaPoka @ 562187ms/16s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-668)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 577999ms/16s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-668)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 593645ms/16s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-666)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 609367ms/16s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-662)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 626452ms/16s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-656)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 643590ms/16s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-648)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 659645ms/16s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-638)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 675859ms/16s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-626)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 692609ms/16s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-612)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 709566ms/16s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-596)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 725666ms/16s/18m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-578)] with expected peak @ (x:407.0, y:100)
