[PokaPoka @ 613514ms/49s/37m/14h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 187926ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(464.0-718)] with expected peak @ (x:464.0, y:100)
[PokaPoka @ 204019ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(461.0-718)] with expected peak @ (x:461.0, y:100)
[PokaPoka @ 220222ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(458.0-716)] with expected peak @ (x:458.0, y:100)
[PokaPoka @ 237525ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(455.0-712)] with expected peak @ (x:455.0, y:100)
[PokaPoka @ 253456ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(452.0-706)] with expected peak @ (x:452.0, y:100)
[PokaPoka @ 270620ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(449.0-698)] with expected peak @ (x:449.0, y:100)
[PokaPoka @ 285934ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(446.0-688)] with expected peak @ (x:446.0, y:100)
[PokaPoka @ 303159ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(443.0-676)] with expected peak @ (x:443.0, y:100)
[PokaPoka @ 319703ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(440.0-662)] with expected peak @ (x:440.0, y:100)
[PokaPoka @ 336950ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(440.0-646)] with expected peak @ (x:440.0, y:100)
[PokaPoka @ 353019ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(443.0-628)] with expected peak @ (x:443.0, y:100)
[PokaPoka @ 746330ms/51s/37m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-718)] with expected peak @ (x:515.0, y:100)
