[PokaPoka @ 333308ms/28s/22m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 71234ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-663)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 113373ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-656)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 138798ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-649)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 159734ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-642)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 180647ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-635)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 203677ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-628)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 224678ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-621)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 247234ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-614)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 272400ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-607)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 299843ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-600)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 323353ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-593)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 344547ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-586)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 374417ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-579)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 405334ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-572)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 432988ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-565)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 457505ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-558)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 488145ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-551)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 523495ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-544)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 561066ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-537)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 610369ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-530)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 654277ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-523)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 688677ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-516)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 725096ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-509)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 756651ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-502)] with expected peak @ (x:490.0, y:100)
[PokaPoka @ 777576ms/43s/22m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(490.0-495)] with expected peak @ (x:490.0, y:100)
