[PokaPoka @ 99151ms/12s/1m/20h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 727111ms/7s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(796-669)] with expected peak @ (x:796, y:100)
[PokaPoka @ 742877ms/7s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(799-667)] with expected peak @ (x:799, y:100)
[PokaPoka @ 758447ms/7s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(802-663)] with expected peak @ (x:802, y:100)
[PokaPoka @ 775528ms/7s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(805-657)] with expected peak @ (x:805, y:100)
[PokaPoka @ 791929ms/7s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(808-649)] with expected peak @ (x:808, y:100)
[PokaPoka @ 808110ms/7s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(811-639)] with expected peak @ (x:811, y:100)
[PokaPoka @ 823504ms/7s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(814-627)] with expected peak @ (x:814, y:100)
[PokaPoka @ 840124ms/7s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(814-613)] with expected peak @ (x:814, y:100)
[PokaPoka @ 856058ms/7s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(814-597)] with expected peak @ (x:814, y:100)
[PokaPoka @ 871746ms/7s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(814-579)] with expected peak @ (x:814, y:100)
[PokaPoka @ 269692ms/8s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(778-669)] with expected peak @ (x:778, y:100)
[PokaPoka @ 286362ms/8s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(775-669)] with expected peak @ (x:775, y:100)
[PokaPoka @ 303315ms/8s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-667)] with expected peak @ (x:772, y:100)
[PokaPoka @ 320636ms/8s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-663)] with expected peak @ (x:772, y:100)
[PokaPoka @ 336360ms/8s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-657)] with expected peak @ (x:772, y:100)
[PokaPoka @ 353330ms/8s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-649)] with expected peak @ (x:772, y:100)
[PokaPoka @ 371256ms/8s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-639)] with expected peak @ (x:772, y:100)
[PokaPoka @ 386330ms/8s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-627)] with expected peak @ (x:772, y:100)
[PokaPoka @ 403317ms/8s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-613)] with expected peak @ (x:772, y:100)
[PokaPoka @ 419758ms/8s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-597)] with expected peak @ (x:772, y:100)
[PokaPoka @ 435978ms/8s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-579)] with expected peak @ (x:772, y:100)
[PokaPoka @ 663235ms/10s/2m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(772-668)] with expected peak @ (x:772, y:100)
