[PokaPoka @ 68443ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 34
[PokaPoka @ 69445ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 35
[PokaPoka @ 69445ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 35
[PokaPoka @ 69445ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 36
[PokaPoka @ 69445ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 36
[PokaPoka @ 69445ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 37
[PokaPoka @ 69445ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 37
[PokaPoka @ 70437ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 38
[PokaPoka @ 70437ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 38
[PokaPoka @ 70437ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 39
[PokaPoka @ 70437ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 39
[PokaPoka @ 70437ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 40
[PokaPoka @ 70437ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 40
[PokaPoka @ 71430ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 41
[PokaPoka @ 71430ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 41
[PokaPoka @ 71430ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 42
[PokaPoka @ 71430ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 42
[PokaPoka @ 72434ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 43
[PokaPoka @ 72434ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 43
[PokaPoka @ 72434ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 44
[PokaPoka @ 74420ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 44
[PokaPoka @ 74420ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 45
[PokaPoka @ 74420ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 45
[PokaPoka @ 75420ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 46
[PokaPoka @ 75420ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 46
[PokaPoka @ 75971ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 47
[PokaPoka @ 75971ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 47
[PokaPoka @ 75971ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 48
[PokaPoka @ 75971ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 48
[PokaPoka @ 76947ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 49
[PokaPoka @ 76947ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 49
[PokaPoka @ 76947ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 50
[PokaPoka @ 76947ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 50
[PokaPoka @ 76947ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 51
[PokaPoka @ 76947ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 51
[PokaPoka @ 76947ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 52
[PokaPoka @ 77940ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 52
[PokaPoka @ 77940ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 53
[PokaPoka @ 77940ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 53
[PokaPoka @ 77940ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 54
[PokaPoka @ 77940ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 54
[PokaPoka @ 78939ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 55
[PokaPoka @ 78939ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 55
[PokaPoka @ 78939ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 56
[PokaPoka @ 78939ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 56
[PokaPoka @ 78939ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 57
[PokaPoka @ 78939ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 57
[PokaPoka @ 79941ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 58
[PokaPoka @ 79941ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 58
[PokaPoka @ 79941ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 59
[PokaPoka @ 79941ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 59
[PokaPoka @ 79941ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 60
[PokaPoka @ 79941ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 60
[PokaPoka @ 80935ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 61
[PokaPoka @ 80935ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 61
[PokaPoka @ 80935ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 62
[PokaPoka @ 80935ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 62
[PokaPoka @ 81930ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 63
[PokaPoka @ 81930ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 63
[PokaPoka @ 81930ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 64
[PokaPoka @ 81930ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 64
[PokaPoka @ 81930ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 65
[PokaPoka @ 81930ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 65
[PokaPoka @ 82936ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 66
[PokaPoka @ 82936ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 66
[PokaPoka @ 82936ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 67
[PokaPoka @ 82936ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 67
[PokaPoka @ 82936ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 68
[PokaPoka @ 82936ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 68
[PokaPoka @ 83924ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 69
[PokaPoka @ 83924ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 69
[PokaPoka @ 83924ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 70
[PokaPoka @ 83924ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 70
[PokaPoka @ 84921ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 71
[PokaPoka @ 84921ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 71
[PokaPoka @ 85918ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 72
[PokaPoka @ 85918ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 72
[PokaPoka @ 85918ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 73
[PokaPoka @ 85918ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 73
[PokaPoka @ 89905ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 74
[PokaPoka @ 89905ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 74
[PokaPoka @ 90916ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 75
[PokaPoka @ 90916ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 75
[PokaPoka @ 90916ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 76
[PokaPoka @ 90916ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 76
[PokaPoka @ 91903ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 77
[PokaPoka @ 91903ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 77
[PokaPoka @ 91903ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 78
[PokaPoka @ 91903ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 78
[PokaPoka @ 91903ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 79
[PokaPoka @ 91903ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 79
[PokaPoka @ 92902ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 80
[PokaPoka @ 92902ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 80
[PokaPoka @ 92902ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 81
[PokaPoka @ 92902ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 81
[PokaPoka @ 92902ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 82
[PokaPoka @ 92902ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 82
[PokaPoka @ 93896ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 83
[PokaPoka @ 93896ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 83
[PokaPoka @ 93896ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 84
[PokaPoka @ 93896ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 84
[PokaPoka @ 93896ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 85
[PokaPoka @ 94892ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 85
[PokaPoka @ 94892ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 86
[PokaPoka @ 94892ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 86
[PokaPoka @ 94892ms/32s/15m/21h, 26d/6mo/2021y] --> Beginning game loop 87
[PokaPoka @ 94892ms/32s/15m/21h, 26d/6mo/2021y] --> Completed game loop 87
