[PokaPoka @ 666811ms/19s/12m/12h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 781256ms/21s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-718)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 799157ms/21s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(620.0-718)] with expected peak @ (x:620.0, y:100)
[PokaPoka @ 815441ms/21s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(623.0-716)] with expected peak @ (x:623.0, y:100)
[PokaPoka @ 831523ms/21s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(626.0-712)] with expected peak @ (x:626.0, y:100)
[PokaPoka @ 847847ms/21s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(629.0-706)] with expected peak @ (x:629.0, y:100)
[PokaPoka @ 864550ms/21s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(632.0-698)] with expected peak @ (x:632.0, y:100)
[PokaPoka @ 880640ms/21s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(635.0-688)] with expected peak @ (x:635.0, y:100)
[PokaPoka @ 896944ms/21s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(638.0-676)] with expected peak @ (x:638.0, y:100)
[PokaPoka @ 913007ms/21s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(641.0-662)] with expected peak @ (x:641.0, y:100)
[PokaPoka @ 929304ms/21s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(644.0-646)] with expected peak @ (x:644.0, y:100)
[PokaPoka @ 945377ms/21s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(647.0-628)] with expected peak @ (x:647.0, y:100)
[PokaPoka @ 562524ms/24s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(566.0-718)] with expected peak @ (x:566.0, y:100)
[PokaPoka @ 579017ms/24s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(563.0-718)] with expected peak @ (x:563.0, y:100)
[PokaPoka @ 595111ms/24s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(560.0-716)] with expected peak @ (x:560.0, y:100)
[PokaPoka @ 611126ms/24s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-712)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 627290ms/24s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(554.0-706)] with expected peak @ (x:554.0, y:100)
[PokaPoka @ 644214ms/24s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(551.0-698)] with expected peak @ (x:551.0, y:100)
[PokaPoka @ 661276ms/24s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(548.0-688)] with expected peak @ (x:548.0, y:100)
[PokaPoka @ 677430ms/24s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-676)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 693573ms/24s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(542.0-662)] with expected peak @ (x:542.0, y:100)
[PokaPoka @ 709831ms/24s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(539.0-646)] with expected peak @ (x:539.0, y:100)
[PokaPoka @ 726165ms/24s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(536.0-628)] with expected peak @ (x:536.0, y:100)
[PokaPoka @ 740357ms/26s/12m/12h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(5) --> removed from inventory
[PokaPoka @ 972715ms/27s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-737)] with expected peak @ (x:532, y:100)
[PokaPoka @ 988445ms/27s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-735)] with expected peak @ (x:532, y:100)
[PokaPoka @ 5512ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-731)] with expected peak @ (x:532, y:100)
[PokaPoka @ 21334ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-725)] with expected peak @ (x:532, y:100)
[PokaPoka @ 38192ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-717)] with expected peak @ (x:532, y:100)
[PokaPoka @ 55159ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-707)] with expected peak @ (x:532, y:100)
[PokaPoka @ 72511ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-695)] with expected peak @ (x:532, y:100)
[PokaPoka @ 88221ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-681)] with expected peak @ (x:532, y:100)
[PokaPoka @ 105211ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-665)] with expected peak @ (x:532, y:100)
[PokaPoka @ 123418ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-647)] with expected peak @ (x:532, y:100)
[PokaPoka @ 300713ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-718)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 316419ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(503.0-718)] with expected peak @ (x:503.0, y:100)
[PokaPoka @ 333581ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-716)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 348838ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(509.0-712)] with expected peak @ (x:509.0, y:100)
[PokaPoka @ 364389ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(512.0-706)] with expected peak @ (x:512.0, y:100)
[PokaPoka @ 380536ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-663)] with expected peak @ (x:532, y:100)
[PokaPoka @ 380536ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-698)] with expected peak @ (x:515.0, y:100)
[PokaPoka @ 396972ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-661)] with expected peak @ (x:532, y:100)
[PokaPoka @ 396972ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-688)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 414056ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-657)] with expected peak @ (x:532, y:100)
[PokaPoka @ 414056ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(521.0-676)] with expected peak @ (x:521.0, y:100)
[PokaPoka @ 430159ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-651)] with expected peak @ (x:532, y:100)
[PokaPoka @ 430159ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-662)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 445359ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-643)] with expected peak @ (x:532, y:100)
[PokaPoka @ 445359ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-646)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 461548ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-633)] with expected peak @ (x:532, y:100)
[PokaPoka @ 461548ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-628)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 477939ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-621)] with expected peak @ (x:532, y:100)
[PokaPoka @ 478859ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-608)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 494308ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-607)] with expected peak @ (x:532, y:100)
[PokaPoka @ 494308ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-586)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 510896ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-591)] with expected peak @ (x:532, y:100)
[PokaPoka @ 510896ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-562)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 526609ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(238-246-147), size(50-50) @ pos(532-573)] with expected peak @ (x:532, y:100)
[PokaPoka @ 526609ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-536)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 542546ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-508)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 558475ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-478)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 575453ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-446)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 591458ms/28s/12m/12h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-412)] with expected peak @ (x:530.0, y:100)
