[PokaPoka @ 554636ms/24s/57m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 585964ms/25s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(621.0-668)] with expected peak @ (x:621.0, y:100)
[PokaPoka @ 602715ms/25s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(624.0-668)] with expected peak @ (x:624.0, y:100)
[PokaPoka @ 621579ms/25s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(627.0-666)] with expected peak @ (x:627.0, y:100)
[PokaPoka @ 636358ms/25s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(630.0-662)] with expected peak @ (x:630.0, y:100)
[PokaPoka @ 652724ms/25s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-656)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 669150ms/25s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(636.0-648)] with expected peak @ (x:636.0, y:100)
[PokaPoka @ 686175ms/25s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(639.0-638)] with expected peak @ (x:639.0, y:100)
[PokaPoka @ 701518ms/25s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(642.0-626)] with expected peak @ (x:642.0, y:100)
[PokaPoka @ 718083ms/25s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(645.0-612)] with expected peak @ (x:645.0, y:100)
[PokaPoka @ 734506ms/25s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(648.0-596)] with expected peak @ (x:648.0, y:100)
[PokaPoka @ 751329ms/25s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(651.0-578)] with expected peak @ (x:651.0, y:100)
[PokaPoka @ 640656ms/28s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-668)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 657334ms/28s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-668)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 674007ms/28s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-666)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 690661ms/28s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-662)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 707308ms/28s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-656)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 724707ms/28s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-648)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 740720ms/28s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-638)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 757403ms/28s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-626)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 774874ms/28s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-612)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 790342ms/28s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(636.0-596)] with expected peak @ (x:636.0, y:100)
[PokaPoka @ 806409ms/28s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(639.0-578)] with expected peak @ (x:639.0, y:100)
[PokaPoka @ 197699ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-668)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 214569ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-668)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 230481ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-666)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 246995ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-662)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 262552ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-656)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 279225ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-648)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 295946ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-638)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 312592ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-626)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 328794ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-612)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 345965ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-596)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 361583ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-578)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 756504ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(753.0-668)] with expected peak @ (x:753.0, y:100)
[PokaPoka @ 773988ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(756.0-668)] with expected peak @ (x:756.0, y:100)
[PokaPoka @ 785984ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(759.0-666)] with expected peak @ (x:759.0, y:100)
[PokaPoka @ 802075ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(762.0-662)] with expected peak @ (x:762.0, y:100)
[PokaPoka @ 818660ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(765.0-656)] with expected peak @ (x:765.0, y:100)
[PokaPoka @ 833536ms/29s/57m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(768.0-648)] with expected peak @ (x:768.0, y:100)
