[PokaPoka @ 256901ms/54s/15m/23h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 227184ms/9s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(216.0-668)] with expected peak @ (x:216.0, y:100)
[PokaPoka @ 246132ms/9s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(219.0-668)] with expected peak @ (x:219.0, y:100)
[PokaPoka @ 264081ms/9s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(222.0-666)] with expected peak @ (x:222.0, y:100)
[PokaPoka @ 282039ms/9s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(225.0-662)] with expected peak @ (x:225.0, y:100)
[PokaPoka @ 301945ms/9s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(228.0-656)] with expected peak @ (x:228.0, y:100)
[PokaPoka @ 324885ms/9s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(231.0-648)] with expected peak @ (x:231.0, y:100)
[PokaPoka @ 342866ms/9s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(234.0-638)] with expected peak @ (x:234.0, y:100)
[PokaPoka @ 361793ms/9s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(237.0-626)] with expected peak @ (x:237.0, y:100)
[PokaPoka @ 379739ms/9s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(240.0-612)] with expected peak @ (x:240.0, y:100)
[PokaPoka @ 401680ms/9s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(243.0-596)] with expected peak @ (x:243.0, y:100)
[PokaPoka @ 421627ms/9s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(246.0-578)] with expected peak @ (x:246.0, y:100)
[PokaPoka @ 100764ms/19s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(507.0-668)] with expected peak @ (x:507.0, y:100)
[PokaPoka @ 116811ms/19s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(507.0-668)] with expected peak @ (x:507.0, y:100)
[PokaPoka @ 134124ms/19s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(507.0-666)] with expected peak @ (x:507.0, y:100)
[PokaPoka @ 150796ms/19s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(507.0-662)] with expected peak @ (x:507.0, y:100)
[PokaPoka @ 170472ms/19s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(510.0-656)] with expected peak @ (x:510.0, y:100)
[PokaPoka @ 184397ms/19s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(510.0-648)] with expected peak @ (x:510.0, y:100)
[PokaPoka @ 200148ms/19s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(513.0-638)] with expected peak @ (x:513.0, y:100)
[PokaPoka @ 221790ms/19s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(516.0-626)] with expected peak @ (x:516.0, y:100)
[PokaPoka @ 238747ms/19s/16m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(516.0-612)] with expected peak @ (x:516.0, y:100)
