[PokaPoka @ 418112ms/27s/10m/1h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 990906ms/27s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 455874ms/30s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 260865ms/32s/10m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(2) --> removed from inventory
[PokaPoka @ 292476ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(480-628)] with expected peak @ (x:480, y:100)
[PokaPoka @ 305449ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(477-608)] with expected peak @ (x:477, y:100)
[PokaPoka @ 318412ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(474-586)] with expected peak @ (x:474, y:100)
[PokaPoka @ 331436ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(471-562)] with expected peak @ (x:471, y:100)
[PokaPoka @ 346368ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(468-536)] with expected peak @ (x:468, y:100)
[PokaPoka @ 361541ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(465-508)] with expected peak @ (x:465, y:100)
[PokaPoka @ 376499ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(462-478)] with expected peak @ (x:462, y:100)
[PokaPoka @ 391459ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(459-446)] with expected peak @ (x:459, y:100)
[PokaPoka @ 406418ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456-412)] with expected peak @ (x:456, y:100)
[PokaPoka @ 421379ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(453-376)] with expected peak @ (x:453, y:100)
[PokaPoka @ 435375ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(450-338)] with expected peak @ (x:450, y:100)
[PokaPoka @ 450301ms/35s/10m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(447-298)] with expected peak @ (x:447, y:100)
