[PokaPoka @ 178186ms/14s/52m/10h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 144924ms/15s/52m/10h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 120352ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-727)] with expected peak @ (x:659, y:100)
[PokaPoka @ 134816ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-821)] with expected peak @ (x:659, y:100)
[PokaPoka @ 147782ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-913)] with expected peak @ (x:659, y:100)
[PokaPoka @ 160754ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-1003)] with expected peak @ (x:659, y:100)
[PokaPoka @ 173713ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-1091)] with expected peak @ (x:659, y:100)
[PokaPoka @ 189034ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-1177)] with expected peak @ (x:659, y:100)
[PokaPoka @ 203304ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-1261)] with expected peak @ (x:659, y:100)
[PokaPoka @ 216555ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-1343)] with expected peak @ (x:659, y:100)
[PokaPoka @ 229525ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-1423)] with expected peak @ (x:659, y:100)
[PokaPoka @ 244479ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-1501)] with expected peak @ (x:659, y:100)
[PokaPoka @ 256447ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-1577)] with expected peak @ (x:659, y:100)
[PokaPoka @ 271407ms/16s/52m/10h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(97-199-208), size(50-50) @ pos(659-1651)] with expected peak @ (x:659, y:100)
