[PokaPoka @ 200242ms/2s/9m/1h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 832005ms/5s/9m/1h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 447981ms/13s/9m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(471-718)] with expected peak @ (x:471, y:100)
[PokaPoka @ 463490ms/13s/9m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(468-718)] with expected peak @ (x:468, y:100)
[PokaPoka @ 478450ms/13s/9m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(465-716)] with expected peak @ (x:465, y:100)
[PokaPoka @ 493409ms/13s/9m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(462-712)] with expected peak @ (x:462, y:100)
[PokaPoka @ 506381ms/13s/9m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(459-706)] with expected peak @ (x:459, y:100)
[PokaPoka @ 520379ms/13s/9m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456-698)] with expected peak @ (x:456, y:100)
[PokaPoka @ 534301ms/13s/9m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(453-688)] with expected peak @ (x:453, y:100)
[PokaPoka @ 547300ms/13s/9m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(450-676)] with expected peak @ (x:450, y:100)
[PokaPoka @ 560574ms/13s/9m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(447-662)] with expected peak @ (x:447, y:100)
[PokaPoka @ 575409ms/13s/9m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(444-646)] with expected peak @ (x:444, y:100)
[PokaPoka @ 588382ms/13s/9m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(441-628)] with expected peak @ (x:441, y:100)
