[PokaPoka @ 163875ms/39s/40m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 506720ms/5s/41m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-668)] with expected peak @ (x:456.0, y:100)
[PokaPoka @ 522569ms/5s/41m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-668)] with expected peak @ (x:456.0, y:100)
[PokaPoka @ 538682ms/5s/41m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-666)] with expected peak @ (x:456.0, y:100)
[PokaPoka @ 555148ms/5s/41m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-662)] with expected peak @ (x:456.0, y:100)
[PokaPoka @ 571469ms/5s/41m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-656)] with expected peak @ (x:456.0, y:100)
[PokaPoka @ 587131ms/5s/41m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-648)] with expected peak @ (x:456.0, y:100)
[PokaPoka @ 601988ms/5s/41m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-638)] with expected peak @ (x:456.0, y:100)
[PokaPoka @ 618264ms/5s/41m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-626)] with expected peak @ (x:456.0, y:100)
[PokaPoka @ 634617ms/5s/41m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-612)] with expected peak @ (x:456.0, y:100)
[PokaPoka @ 652546ms/5s/41m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-596)] with expected peak @ (x:456.0, y:100)
[PokaPoka @ 668173ms/5s/41m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(456.0-578)] with expected peak @ (x:456.0, y:100)
