[PokaPoka @ 177071ms/39s/56m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 15859ms/43s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(543.0-668)] with expected peak @ (x:543.0, y:100)
[PokaPoka @ 63732ms/43s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540.0-668)] with expected peak @ (x:540.0, y:100)
[PokaPoka @ 103624ms/43s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(537.0-666)] with expected peak @ (x:537.0, y:100)
[PokaPoka @ 143520ms/43s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(534.0-662)] with expected peak @ (x:534.0, y:100)
[PokaPoka @ 192417ms/43s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(531.0-656)] with expected peak @ (x:531.0, y:100)
[PokaPoka @ 258216ms/43s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(528.0-648)] with expected peak @ (x:528.0, y:100)
[PokaPoka @ 299101ms/43s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(525.0-638)] with expected peak @ (x:525.0, y:100)
[PokaPoka @ 339994ms/43s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(522.0-626)] with expected peak @ (x:522.0, y:100)
[PokaPoka @ 382880ms/43s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(519.0-612)] with expected peak @ (x:519.0, y:100)
[PokaPoka @ 429752ms/43s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(516.0-596)] with expected peak @ (x:516.0, y:100)
[PokaPoka @ 473637ms/43s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(513.0-578)] with expected peak @ (x:513.0, y:100)
[PokaPoka @ 361858ms/45s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(459.0-668)] with expected peak @ (x:459.0, y:100)
[PokaPoka @ 412721ms/45s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(462.0-668)] with expected peak @ (x:462.0, y:100)
[PokaPoka @ 460622ms/45s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(465.0-666)] with expected peak @ (x:465.0, y:100)
[PokaPoka @ 504510ms/45s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(468.0-662)] with expected peak @ (x:468.0, y:100)
[PokaPoka @ 549384ms/45s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(471.0-656)] with expected peak @ (x:471.0, y:100)
[PokaPoka @ 601565ms/45s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(474.0-648)] with expected peak @ (x:474.0, y:100)
[PokaPoka @ 657444ms/45s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(477.0-638)] with expected peak @ (x:477.0, y:100)
[PokaPoka @ 703818ms/45s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(480.0-626)] with expected peak @ (x:480.0, y:100)
[PokaPoka @ 764652ms/45s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(483.0-612)] with expected peak @ (x:483.0, y:100)
[PokaPoka @ 811075ms/45s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(486.0-596)] with expected peak @ (x:486.0, y:100)
[PokaPoka @ 869892ms/45s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(489.0-578)] with expected peak @ (x:489.0, y:100)
[PokaPoka @ 299317ms/47s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(570.0-668)] with expected peak @ (x:570.0, y:100)
[PokaPoka @ 357165ms/47s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(573.0-668)] with expected peak @ (x:573.0, y:100)
[PokaPoka @ 405555ms/47s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(576.0-666)] with expected peak @ (x:576.0, y:100)
[PokaPoka @ 462395ms/47s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(579.0-662)] with expected peak @ (x:579.0, y:100)
[PokaPoka @ 520237ms/47s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(582.0-656)] with expected peak @ (x:582.0, y:100)
[PokaPoka @ 570105ms/47s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(585.0-648)] with expected peak @ (x:585.0, y:100)
[PokaPoka @ 627916ms/47s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(588.0-638)] with expected peak @ (x:588.0, y:100)
[PokaPoka @ 679780ms/47s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(591.0-626)] with expected peak @ (x:591.0, y:100)
[PokaPoka @ 738622ms/47s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(594.0-612)] with expected peak @ (x:594.0, y:100)
[PokaPoka @ 796467ms/47s/56m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(597.0-596)] with expected peak @ (x:597.0, y:100)
