[PokaPoka @ 730086ms/52s/8m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 862914ms/52s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 877439ms/52s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 893887ms/52s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-666)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 909209ms/52s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-662)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 926355ms/52s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-656)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 942605ms/52s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-648)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 958160ms/52s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-638)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 975168ms/52s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-626)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 991145ms/52s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-612)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 7541ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-596)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 23930ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(503.0-578)] with expected peak @ (x:503.0, y:100)
[PokaPoka @ 419967ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(575.0-668)] with expected peak @ (x:575.0, y:100)
[PokaPoka @ 437312ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(578.0-668)] with expected peak @ (x:578.0, y:100)
[PokaPoka @ 453071ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(581.0-666)] with expected peak @ (x:581.0, y:100)
[PokaPoka @ 469836ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-662)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 485603ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-656)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 501673ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-648)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 517938ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-638)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 534591ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-626)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 550232ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599.0-612)] with expected peak @ (x:599.0, y:100)
[PokaPoka @ 567993ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-596)] with expected peak @ (x:602.0, y:100)
[PokaPoka @ 585571ms/53s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-578)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 236523ms/56s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(785.0-668)] with expected peak @ (x:785.0, y:100)
[PokaPoka @ 251242ms/56s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(782.0-668)] with expected peak @ (x:782.0, y:100)
[PokaPoka @ 267961ms/56s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(779.0-666)] with expected peak @ (x:779.0, y:100)
[PokaPoka @ 286008ms/56s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(776.0-662)] with expected peak @ (x:776.0, y:100)
[PokaPoka @ 302362ms/56s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(773.0-656)] with expected peak @ (x:773.0, y:100)
[PokaPoka @ 318326ms/56s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(770.0-648)] with expected peak @ (x:770.0, y:100)
[PokaPoka @ 334560ms/56s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(767.0-638)] with expected peak @ (x:767.0, y:100)
[PokaPoka @ 350199ms/56s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(764.0-626)] with expected peak @ (x:764.0, y:100)
[PokaPoka @ 367277ms/56s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-612)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 384838ms/56s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(758.0-596)] with expected peak @ (x:758.0, y:100)
[PokaPoka @ 402374ms/56s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(755.0-578)] with expected peak @ (x:755.0, y:100)
[PokaPoka @ 375166ms/57s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(578.0-668)] with expected peak @ (x:578.0, y:100)
[PokaPoka @ 391696ms/57s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(575.0-668)] with expected peak @ (x:575.0, y:100)
[PokaPoka @ 408538ms/57s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(572.0-666)] with expected peak @ (x:572.0, y:100)
[PokaPoka @ 425222ms/57s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(569.0-662)] with expected peak @ (x:569.0, y:100)
[PokaPoka @ 441533ms/57s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(566.0-656)] with expected peak @ (x:566.0, y:100)
[PokaPoka @ 457651ms/57s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(563.0-648)] with expected peak @ (x:563.0, y:100)
[PokaPoka @ 473913ms/57s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(560.0-638)] with expected peak @ (x:560.0, y:100)
[PokaPoka @ 489036ms/57s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-626)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 506251ms/57s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(554.0-612)] with expected peak @ (x:554.0, y:100)
[PokaPoka @ 522317ms/57s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(551.0-596)] with expected peak @ (x:551.0, y:100)
[PokaPoka @ 538510ms/57s/8m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(548.0-578)] with expected peak @ (x:548.0, y:100)
[PokaPoka @ 344002ms/58s/8m/19h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 344002ms/58s/8m/19h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 344002ms/58s/8m/19h, 27d/6mo/2021y] --> Exported game log as PokaPoka_366598_52_8_19_27_6_2021.log
