[PokaPoka @ 744774ms/24s/16m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 107364ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-658)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 125824ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-651)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 143721ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-644)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 159702ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-637)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 175896ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-630)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 192892ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-623)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 209845ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-616)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 229857ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-609)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 250837ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-602)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 269310ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-595)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 293250ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-588)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 320186ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-581)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 349431ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-574)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 378413ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-567)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 411620ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-560)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 439549ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-553)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 467468ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-546)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 483464ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-539)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 500461ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-532)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 518445ms/25s/16m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-525)] with expected peak @ (x:605.0, y:100)
