[PokaPoka @ 147319ms/12s/29m/14h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 763874ms/13s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-718)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 766869ms/13s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-718)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 777842ms/13s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-716)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 788534ms/13s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-712)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 799870ms/13s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-706)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 810885ms/13s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-698)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 820844ms/13s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-688)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 830851ms/13s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-676)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 840794ms/13s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-662)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 850764ms/13s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-646)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 861937ms/13s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-628)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 337437ms/14s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(629.0-718)] with expected peak @ (x:629.0, y:100)
[PokaPoka @ 348407ms/14s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(632.0-718)] with expected peak @ (x:632.0, y:100)
[PokaPoka @ 359993ms/14s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(635.0-716)] with expected peak @ (x:635.0, y:100)
[PokaPoka @ 369280ms/14s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(638.0-712)] with expected peak @ (x:638.0, y:100)
