[PokaPoka @ 685424ms/18s/41m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 909629ms/33s/41m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-658)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 925300ms/33s/41m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-651)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 942775ms/33s/41m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-644)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 959509ms/33s/41m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-637)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 976064ms/33s/41m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-630)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 993417ms/33s/41m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-623)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 10736ms/34s/41m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-616)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 27426ms/34s/41m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-609)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 44448ms/34s/41m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-602)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 61132ms/34s/41m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-595)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 78473ms/34s/41m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-586)] with expected peak @ (x:605.0, y:100)
