[PokaPoka @ 203638ms/57s/28m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 151270ms/59s/28m/8h, 28d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 68054ms/21s/29m/8h, 28d/6mo/2021y] --> Mouse interacted with hotbar slot(8) --> removed from inventory
[PokaPoka @ 78741ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-668)] with expected peak @ (x:978, y:100)
[PokaPoka @ 103724ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-662)] with expected peak @ (x:978, y:100)
[PokaPoka @ 132565ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-654)] with expected peak @ (x:978, y:100)
[PokaPoka @ 153549ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-644)] with expected peak @ (x:978, y:100)
[PokaPoka @ 173987ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-632)] with expected peak @ (x:978, y:100)
[PokaPoka @ 188990ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-618)] with expected peak @ (x:978, y:100)
[PokaPoka @ 204895ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-602)] with expected peak @ (x:978, y:100)
[PokaPoka @ 222933ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-584)] with expected peak @ (x:978, y:100)
[PokaPoka @ 698540ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-674)] with expected peak @ (x:978, y:100)
[PokaPoka @ 718538ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-672)] with expected peak @ (x:978, y:100)
[PokaPoka @ 740015ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-668)] with expected peak @ (x:978, y:100)
[PokaPoka @ 762516ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-662)] with expected peak @ (x:978, y:100)
[PokaPoka @ 783388ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-654)] with expected peak @ (x:978, y:100)
[PokaPoka @ 803953ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-644)] with expected peak @ (x:978, y:100)
[PokaPoka @ 825040ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-632)] with expected peak @ (x:978, y:100)
[PokaPoka @ 849102ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-618)] with expected peak @ (x:978, y:100)
[PokaPoka @ 865717ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-602)] with expected peak @ (x:978, y:100)
[PokaPoka @ 885664ms/24s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-584)] with expected peak @ (x:978, y:100)
[PokaPoka @ 376915ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-674)] with expected peak @ (x:978, y:100)
[PokaPoka @ 393716ms/25s/29m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(84-167-123), size(50-50) @ pos(978-672)] with expected peak @ (x:978, y:100)
