[PokaPoka @ 516242ms/20s/17m/17h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 507033ms/10s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(164.0-668)] with expected peak @ (x:164.0, y:100)
[PokaPoka @ 522703ms/10s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(167.0-668)] with expected peak @ (x:167.0, y:100)
[PokaPoka @ 539030ms/10s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(170.0-666)] with expected peak @ (x:170.0, y:100)
[PokaPoka @ 556179ms/10s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(173.0-662)] with expected peak @ (x:173.0, y:100)
[PokaPoka @ 573412ms/10s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(176.0-656)] with expected peak @ (x:176.0, y:100)
[PokaPoka @ 590079ms/10s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(179.0-648)] with expected peak @ (x:179.0, y:100)
[PokaPoka @ 606806ms/10s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(182.0-638)] with expected peak @ (x:182.0, y:100)
[PokaPoka @ 623363ms/10s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(185.0-626)] with expected peak @ (x:185.0, y:100)
[PokaPoka @ 640033ms/10s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(188.0-612)] with expected peak @ (x:188.0, y:100)
[PokaPoka @ 658102ms/10s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(191.0-596)] with expected peak @ (x:191.0, y:100)
[PokaPoka @ 674209ms/10s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(194.0-578)] with expected peak @ (x:194.0, y:100)
[PokaPoka @ 239891ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(296.0-668)] with expected peak @ (x:296.0, y:100)
[PokaPoka @ 256055ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(299.0-668)] with expected peak @ (x:299.0, y:100)
[PokaPoka @ 273406ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(302.0-666)] with expected peak @ (x:302.0, y:100)
[PokaPoka @ 290073ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(305.0-662)] with expected peak @ (x:305.0, y:100)
[PokaPoka @ 307073ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(308.0-656)] with expected peak @ (x:308.0, y:100)
[PokaPoka @ 323971ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(311.0-648)] with expected peak @ (x:311.0, y:100)
[PokaPoka @ 339851ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(314.0-638)] with expected peak @ (x:314.0, y:100)
[PokaPoka @ 357190ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(317.0-626)] with expected peak @ (x:317.0, y:100)
[PokaPoka @ 373346ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(320.0-612)] with expected peak @ (x:320.0, y:100)
[PokaPoka @ 390006ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(323.0-596)] with expected peak @ (x:323.0, y:100)
[PokaPoka @ 407314ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(326.0-578)] with expected peak @ (x:326.0, y:100)
[PokaPoka @ 806034ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(398.0-668)] with expected peak @ (x:398.0, y:100)
[PokaPoka @ 822111ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(401.0-668)] with expected peak @ (x:401.0, y:100)
[PokaPoka @ 838684ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-666)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 857183ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-662)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 872122ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(410.0-656)] with expected peak @ (x:410.0, y:100)
[PokaPoka @ 889222ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-648)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 905576ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(416.0-638)] with expected peak @ (x:416.0, y:100)
[PokaPoka @ 921631ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(419.0-626)] with expected peak @ (x:419.0, y:100)
[PokaPoka @ 937833ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-612)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 952451ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(425.0-596)] with expected peak @ (x:425.0, y:100)
[PokaPoka @ 968406ms/11s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-578)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 360042ms/12s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 376893ms/12s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(503.0-668)] with expected peak @ (x:503.0, y:100)
[PokaPoka @ 392899ms/12s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-666)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 409880ms/12s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(509.0-662)] with expected peak @ (x:509.0, y:100)
[PokaPoka @ 426137ms/12s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(512.0-656)] with expected peak @ (x:512.0, y:100)
[PokaPoka @ 442088ms/12s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-648)] with expected peak @ (x:515.0, y:100)
[PokaPoka @ 458711ms/12s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-638)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 474088ms/12s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(521.0-626)] with expected peak @ (x:521.0, y:100)
[PokaPoka @ 490579ms/12s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-612)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 507914ms/12s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-596)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 524419ms/12s/18m/17h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-578)] with expected peak @ (x:530.0, y:100)
