[PokaPoka @ 932380ms/41s/36m/23h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 944156ms/45s/36m/23h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(9) --> removed from inventory
[PokaPoka @ 974307ms/46s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-627)] with expected peak @ (x:394, y:100)
[PokaPoka @ 996532ms/46s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-625)] with expected peak @ (x:394, y:100)
[PokaPoka @ 15482ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-621)] with expected peak @ (x:394, y:100)
[PokaPoka @ 38416ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-615)] with expected peak @ (x:394, y:100)
[PokaPoka @ 59371ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-607)] with expected peak @ (x:394, y:100)
[PokaPoka @ 79312ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-597)] with expected peak @ (x:394, y:100)
[PokaPoka @ 99282ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-585)] with expected peak @ (x:394, y:100)
[PokaPoka @ 115210ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-571)] with expected peak @ (x:394, y:100)
[PokaPoka @ 131168ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-555)] with expected peak @ (x:394, y:100)
[PokaPoka @ 148123ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-537)] with expected peak @ (x:394, y:100)
[PokaPoka @ 605933ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-627)] with expected peak @ (x:394, y:100)
[PokaPoka @ 622882ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-625)] with expected peak @ (x:394, y:100)
[PokaPoka @ 639807ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-621)] with expected peak @ (x:394, y:100)
[PokaPoka @ 656761ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-615)] with expected peak @ (x:394, y:100)
[PokaPoka @ 673715ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-607)] with expected peak @ (x:394, y:100)
[PokaPoka @ 689675ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-597)] with expected peak @ (x:394, y:100)
[PokaPoka @ 706641ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-585)] with expected peak @ (x:394, y:100)
[PokaPoka @ 722615ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-571)] with expected peak @ (x:394, y:100)
[PokaPoka @ 738572ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-555)] with expected peak @ (x:394, y:100)
[PokaPoka @ 754502ms/47s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(180-28-241), size(50-50) @ pos(394-537)] with expected peak @ (x:394, y:100)
[PokaPoka @ 131496ms/48s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(471.0-668)] with expected peak @ (x:471.0, y:100)
[PokaPoka @ 147488ms/48s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(474.0-668)] with expected peak @ (x:474.0, y:100)
[PokaPoka @ 163447ms/48s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(477.0-666)] with expected peak @ (x:477.0, y:100)
[PokaPoka @ 179369ms/48s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(480.0-662)] with expected peak @ (x:480.0, y:100)
[PokaPoka @ 198321ms/48s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(480.0-656)] with expected peak @ (x:480.0, y:100)
[PokaPoka @ 216265ms/48s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(480.0-648)] with expected peak @ (x:480.0, y:100)
[PokaPoka @ 233251ms/48s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(477.0-638)] with expected peak @ (x:477.0, y:100)
[PokaPoka @ 251175ms/48s/36m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(474.0-626)] with expected peak @ (x:474.0, y:100)
