[PokaPoka @ 376403ms/29s/15m/11h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 579013ms/30s/15m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(4) --> removed from inventory
[PokaPoka @ 6852ms/32s/15m/11h, 27d/6mo/2021y] --> Mouse interacted with hotbar slot(3) --> removed from inventory
[PokaPoka @ 667469ms/38s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(488.0-698)] with expected peak @ (x:488.0, y:100)
[PokaPoka @ 682430ms/38s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(485.0-688)] with expected peak @ (x:485.0, y:100)
[PokaPoka @ 696391ms/38s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(482.0-676)] with expected peak @ (x:482.0, y:100)
[PokaPoka @ 710359ms/38s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(479.0-662)] with expected peak @ (x:479.0, y:100)
[PokaPoka @ 722329ms/38s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(476.0-646)] with expected peak @ (x:476.0, y:100)
[PokaPoka @ 735291ms/38s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(473.0-628)] with expected peak @ (x:473.0, y:100)
[PokaPoka @ 750338ms/38s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(470.0-608)] with expected peak @ (x:470.0, y:100)
[PokaPoka @ 766574ms/38s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(470.0-586)] with expected peak @ (x:470.0, y:100)
[PokaPoka @ 781105ms/38s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(470.0-562)] with expected peak @ (x:470.0, y:100)
[PokaPoka @ 795069ms/38s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(470.0-536)] with expected peak @ (x:470.0, y:100)
[PokaPoka @ 943082ms/39s/15m/11h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-718)] with expected peak @ (x:413.0, y:100)
