[PokaPoka @ 367876ms/47s/15m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 508204ms/49s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-603)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 526117ms/49s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(600.0-586)] with expected peak @ (x:600.0, y:100)
[PokaPoka @ 543549ms/49s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-567)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 560142ms/49s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-546)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 578153ms/49s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-523)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 599423ms/49s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-498)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 103071ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-597)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 128144ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-592)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 157792ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-585)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 183761ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-576)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 208981ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-565)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 232009ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-552)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 251060ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-537)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 276989ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-520)] with expected peak @ (x:595.0, y:100)
[PokaPoka @ 294609ms/50s/15m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(595.0-501)] with expected peak @ (x:595.0, y:100)
