[PokaPoka @ 659249ms/47s/4m/20h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 643354ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(624.0-668)] with expected peak @ (x:624.0, y:100)
[PokaPoka @ 660588ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(627.0-668)] with expected peak @ (x:627.0, y:100)
[PokaPoka @ 678034ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(630.0-666)] with expected peak @ (x:630.0, y:100)
[PokaPoka @ 696780ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-662)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 711547ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(636.0-656)] with expected peak @ (x:636.0, y:100)
[PokaPoka @ 728180ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(639.0-648)] with expected peak @ (x:639.0, y:100)
[PokaPoka @ 745675ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(642.0-638)] with expected peak @ (x:642.0, y:100)
[PokaPoka @ 760608ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(645.0-626)] with expected peak @ (x:645.0, y:100)
[PokaPoka @ 776801ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(648.0-612)] with expected peak @ (x:648.0, y:100)
[PokaPoka @ 792479ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(651.0-596)] with expected peak @ (x:651.0, y:100)
[PokaPoka @ 809004ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(654.0-578)] with expected peak @ (x:654.0, y:100)
[PokaPoka @ 824382ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(654.0-558)] with expected peak @ (x:654.0, y:100)
[PokaPoka @ 840792ms/48s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(654.0-536)] with expected peak @ (x:654.0, y:100)
[PokaPoka @ 539772ms/49s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(723.0-618)] with expected peak @ (x:723.0, y:100)
[PokaPoka @ 554646ms/49s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(726.0-618)] with expected peak @ (x:726.0, y:100)
[PokaPoka @ 573759ms/49s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(729.0-616)] with expected peak @ (x:729.0, y:100)
[PokaPoka @ 587472ms/49s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(732.0-612)] with expected peak @ (x:732.0, y:100)
[PokaPoka @ 603156ms/49s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(735.0-606)] with expected peak @ (x:735.0, y:100)
[PokaPoka @ 622937ms/49s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(738.0-598)] with expected peak @ (x:738.0, y:100)
[PokaPoka @ 636744ms/49s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(741.0-588)] with expected peak @ (x:741.0, y:100)
[PokaPoka @ 651471ms/49s/4m/20h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(744.0-576)] with expected peak @ (x:744.0, y:100)
