[PokaPoka @ 53594ms/15s/29m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 578428ms/16s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-668)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 594143ms/16s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(410.0-668)] with expected peak @ (x:410.0, y:100)
[PokaPoka @ 610991ms/16s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-666)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 627047ms/16s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(416.0-662)] with expected peak @ (x:416.0, y:100)
[PokaPoka @ 643203ms/16s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(419.0-656)] with expected peak @ (x:419.0, y:100)
[PokaPoka @ 659013ms/16s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-648)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 674881ms/16s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(425.0-638)] with expected peak @ (x:425.0, y:100)
[PokaPoka @ 690933ms/16s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-626)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 706820ms/16s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(431.0-612)] with expected peak @ (x:431.0, y:100)
[PokaPoka @ 723634ms/16s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(434.0-596)] with expected peak @ (x:434.0, y:100)
[PokaPoka @ 741105ms/16s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(437.0-578)] with expected peak @ (x:437.0, y:100)
[PokaPoka @ 115591ms/18s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(455.0-668)] with expected peak @ (x:455.0, y:100)
[PokaPoka @ 131975ms/18s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(458.0-668)] with expected peak @ (x:458.0, y:100)
[PokaPoka @ 148186ms/18s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(461.0-666)] with expected peak @ (x:461.0, y:100)
[PokaPoka @ 163166ms/18s/29m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(464.0-662)] with expected peak @ (x:464.0, y:100)
