[PokaPoka @ 241711ms/1s/58m/22h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 735964ms/6s/58m/22h, 27d/6mo/2021y] --> Toggled hitboxes --> True
[PokaPoka @ 539257ms/19s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(702.0-578)] with expected peak @ (x:702.0, y:100)
[PokaPoka @ 557125ms/19s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(699.0-558)] with expected peak @ (x:699.0, y:100)
[PokaPoka @ 576219ms/19s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(696.0-536)] with expected peak @ (x:696.0, y:100)
[PokaPoka @ 631765ms/20s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(621.0-668)] with expected peak @ (x:621.0, y:100)
[PokaPoka @ 648748ms/20s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(624.0-668)] with expected peak @ (x:624.0, y:100)
[PokaPoka @ 666000ms/20s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(627.0-666)] with expected peak @ (x:627.0, y:100)
[PokaPoka @ 681711ms/20s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(630.0-662)] with expected peak @ (x:630.0, y:100)
[PokaPoka @ 701058ms/20s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(633.0-656)] with expected peak @ (x:633.0, y:100)
[PokaPoka @ 716018ms/20s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(636.0-648)] with expected peak @ (x:636.0, y:100)
[PokaPoka @ 732770ms/20s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(639.0-638)] with expected peak @ (x:639.0, y:100)
[PokaPoka @ 749752ms/20s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(642.0-626)] with expected peak @ (x:642.0, y:100)
[PokaPoka @ 771849ms/20s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(645.0-612)] with expected peak @ (x:645.0, y:100)
[PokaPoka @ 785840ms/20s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(648.0-596)] with expected peak @ (x:648.0, y:100)
[PokaPoka @ 801606ms/20s/58m/22h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(651.0-578)] with expected peak @ (x:651.0, y:100)
