[PokaPoka @ 226269ms/55s/50m/14h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 869123ms/55s/50m/14h, 27d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 934291ms/56s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(623.0-668)] with expected peak @ (x:623.0, y:100)
[PokaPoka @ 953239ms/56s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(626.0-668)] with expected peak @ (x:626.0, y:100)
[PokaPoka @ 972189ms/56s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(629.0-666)] with expected peak @ (x:629.0, y:100)
[PokaPoka @ 991138ms/56s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(632.0-662)] with expected peak @ (x:632.0, y:100)
[PokaPoka @ 10086ms/57s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(635.0-656)] with expected peak @ (x:635.0, y:100)
[PokaPoka @ 30070ms/57s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(638.0-648)] with expected peak @ (x:638.0, y:100)
[PokaPoka @ 48018ms/57s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(641.0-638)] with expected peak @ (x:641.0, y:100)
[PokaPoka @ 66942ms/57s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(644.0-626)] with expected peak @ (x:644.0, y:100)
[PokaPoka @ 85917ms/57s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(647.0-612)] with expected peak @ (x:647.0, y:100)
[PokaPoka @ 109873ms/57s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(650.0-596)] with expected peak @ (x:650.0, y:100)
[PokaPoka @ 128773ms/57s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(653.0-578)] with expected peak @ (x:653.0, y:100)
[PokaPoka @ 359521ms/58s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(746.0-668)] with expected peak @ (x:746.0, y:100)
[PokaPoka @ 378471ms/58s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(743.0-668)] with expected peak @ (x:743.0, y:100)
[PokaPoka @ 397421ms/58s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(740.0-666)] with expected peak @ (x:740.0, y:100)
[PokaPoka @ 416370ms/58s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(737.0-662)] with expected peak @ (x:737.0, y:100)
[PokaPoka @ 436313ms/58s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(734.0-656)] with expected peak @ (x:734.0, y:100)
[PokaPoka @ 454297ms/58s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(731.0-648)] with expected peak @ (x:731.0, y:100)
[PokaPoka @ 474276ms/58s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(728.0-638)] with expected peak @ (x:728.0, y:100)
[PokaPoka @ 493163ms/58s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(725.0-626)] with expected peak @ (x:725.0, y:100)
[PokaPoka @ 513166ms/58s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(722.0-612)] with expected peak @ (x:722.0, y:100)
[PokaPoka @ 532142ms/58s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(719.0-596)] with expected peak @ (x:719.0, y:100)
[PokaPoka @ 551092ms/58s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(716.0-578)] with expected peak @ (x:716.0, y:100)
[PokaPoka @ 643904ms/59s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(548.0-668)] with expected peak @ (x:548.0, y:100)
[PokaPoka @ 662886ms/59s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-668)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 681803ms/59s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(542.0-666)] with expected peak @ (x:542.0, y:100)
[PokaPoka @ 699754ms/59s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(539.0-662)] with expected peak @ (x:539.0, y:100)
[PokaPoka @ 723221ms/59s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(536.0-656)] with expected peak @ (x:536.0, y:100)
[PokaPoka @ 750153ms/59s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(533.0-648)] with expected peak @ (x:533.0, y:100)
[PokaPoka @ 769128ms/59s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-638)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 788079ms/59s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-626)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 807041ms/59s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-612)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 825985ms/59s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(521.0-596)] with expected peak @ (x:521.0, y:100)
[PokaPoka @ 846925ms/59s/50m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-578)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 339624ms/0s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(446.0-668)] with expected peak @ (x:446.0, y:100)
[PokaPoka @ 358573ms/0s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(443.0-668)] with expected peak @ (x:443.0, y:100)
[PokaPoka @ 378534ms/0s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(440.0-666)] with expected peak @ (x:440.0, y:100)
[PokaPoka @ 397472ms/0s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(437.0-662)] with expected peak @ (x:437.0, y:100)
[PokaPoka @ 416421ms/0s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(434.0-656)] with expected peak @ (x:434.0, y:100)
[PokaPoka @ 435379ms/0s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(431.0-648)] with expected peak @ (x:431.0, y:100)
[PokaPoka @ 454321ms/0s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-638)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 475319ms/0s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(425.0-626)] with expected peak @ (x:425.0, y:100)
[PokaPoka @ 494211ms/0s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-612)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 512900ms/0s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(419.0-596)] with expected peak @ (x:419.0, y:100)
[PokaPoka @ 531823ms/0s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(416.0-578)] with expected peak @ (x:416.0, y:100)
[PokaPoka @ 563136ms/1s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(401.0-668)] with expected peak @ (x:401.0, y:100)
[PokaPoka @ 582138ms/1s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-668)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 602061ms/1s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-666)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 622986ms/1s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(410.0-662)] with expected peak @ (x:410.0, y:100)
[PokaPoka @ 642971ms/1s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-656)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 661875ms/1s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(416.0-648)] with expected peak @ (x:416.0, y:100)
[PokaPoka @ 680819ms/1s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(419.0-638)] with expected peak @ (x:419.0, y:100)
[PokaPoka @ 700770ms/1s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(422.0-626)] with expected peak @ (x:422.0, y:100)
[PokaPoka @ 724770ms/1s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(425.0-612)] with expected peak @ (x:425.0, y:100)
[PokaPoka @ 750702ms/1s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(428.0-596)] with expected peak @ (x:428.0, y:100)
[PokaPoka @ 772643ms/1s/51m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(431.0-578)] with expected peak @ (x:431.0, y:100)
