[PokaPoka @ 177307ms/51s/29m/23h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 479633ms/52s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(561.0-668)] with expected peak @ (x:561.0, y:100)
[PokaPoka @ 495590ms/52s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(558.0-668)] with expected peak @ (x:558.0, y:100)
[PokaPoka @ 512558ms/52s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(555.0-666)] with expected peak @ (x:555.0, y:100)
[PokaPoka @ 529558ms/52s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(552.0-662)] with expected peak @ (x:552.0, y:100)
[PokaPoka @ 546477ms/52s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(549.0-656)] with expected peak @ (x:549.0, y:100)
[PokaPoka @ 566426ms/52s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(546.0-648)] with expected peak @ (x:546.0, y:100)
[PokaPoka @ 579390ms/52s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(543.0-638)] with expected peak @ (x:543.0, y:100)
[PokaPoka @ 596032ms/52s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(540.0-626)] with expected peak @ (x:540.0, y:100)
[PokaPoka @ 611314ms/52s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(537.0-612)] with expected peak @ (x:537.0, y:100)
[PokaPoka @ 627982ms/52s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(534.0-596)] with expected peak @ (x:534.0, y:100)
[PokaPoka @ 643457ms/52s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(531.0-578)] with expected peak @ (x:531.0, y:100)
[PokaPoka @ 275412ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(255.0-668)] with expected peak @ (x:255.0, y:100)
[PokaPoka @ 300375ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(252.0-668)] with expected peak @ (x:252.0, y:100)
[PokaPoka @ 320323ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(249.0-666)] with expected peak @ (x:249.0, y:100)
[PokaPoka @ 342232ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(246.0-662)] with expected peak @ (x:246.0, y:100)
[PokaPoka @ 362213ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(243.0-656)] with expected peak @ (x:243.0, y:100)
[PokaPoka @ 383160ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(240.0-648)] with expected peak @ (x:240.0, y:100)
[PokaPoka @ 403133ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(237.0-638)] with expected peak @ (x:237.0, y:100)
[PokaPoka @ 423046ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(234.0-626)] with expected peak @ (x:234.0, y:100)
[PokaPoka @ 442000ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(234.0-612)] with expected peak @ (x:234.0, y:100)
[PokaPoka @ 469890ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(234.0-596)] with expected peak @ (x:234.0, y:100)
[PokaPoka @ 501804ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(234.0-578)] with expected peak @ (x:234.0, y:100)
[PokaPoka @ 868825ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(164.0-677)] with expected peak @ (x:164.0, y:100)
[PokaPoka @ 890800ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(159.0-682)] with expected peak @ (x:159.0, y:100)
[PokaPoka @ 913704ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-685)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 933651ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-686)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 953603ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-685)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 977531ms/54s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-682)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 11601ms/55s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-677)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 34541ms/55s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-670)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 55483ms/55s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-661)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 76430ms/55s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-650)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 102365ms/55s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-637)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 128293ms/55s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-622)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 171177ms/55s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-605)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 221043ms/55s/29m/23h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(154.0-586)] with expected peak @ (x:154.0, y:100)
[PokaPoka @ 172282ms/56s/29m/23h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 172282ms/56s/29m/23h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 172282ms/56s/29m/23h, 27d/6mo/2021y] --> Exported game log as PokaPoka_799576_50_29_23_27_6_2021.log
