[PokaPoka @ 562315ms/23s/15m/16h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 627894ms/26s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(392.0-668)] with expected peak @ (x:392.0, y:100)
[PokaPoka @ 643268ms/26s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(389.0-668)] with expected peak @ (x:389.0, y:100)
[PokaPoka @ 658752ms/26s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(386.0-666)] with expected peak @ (x:386.0, y:100)
[PokaPoka @ 675947ms/26s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(383.0-662)] with expected peak @ (x:383.0, y:100)
[PokaPoka @ 692557ms/26s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(380.0-656)] with expected peak @ (x:380.0, y:100)
[PokaPoka @ 709451ms/26s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(377.0-648)] with expected peak @ (x:377.0, y:100)
[PokaPoka @ 726980ms/26s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(374.0-638)] with expected peak @ (x:374.0, y:100)
[PokaPoka @ 743015ms/26s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(371.0-626)] with expected peak @ (x:371.0, y:100)
[PokaPoka @ 758468ms/26s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(368.0-612)] with expected peak @ (x:368.0, y:100)
[PokaPoka @ 775736ms/26s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-596)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 790928ms/26s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(362.0-578)] with expected peak @ (x:362.0, y:100)
[PokaPoka @ 183209ms/27s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(404.0-668)] with expected peak @ (x:404.0, y:100)
[PokaPoka @ 199917ms/27s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(407.0-668)] with expected peak @ (x:407.0, y:100)
[PokaPoka @ 217894ms/27s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(410.0-666)] with expected peak @ (x:410.0, y:100)
[PokaPoka @ 234174ms/27s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-662)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 251339ms/27s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-656)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 266856ms/27s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-648)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 282227ms/27s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-638)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 299517ms/27s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-626)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 315946ms/27s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-612)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 333472ms/27s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-596)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 350427ms/27s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(413.0-578)] with expected peak @ (x:413.0, y:100)
[PokaPoka @ 340568ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(449.0-668)] with expected peak @ (x:449.0, y:100)
[PokaPoka @ 357523ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(452.0-668)] with expected peak @ (x:452.0, y:100)
[PokaPoka @ 374917ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(455.0-666)] with expected peak @ (x:455.0, y:100)
[PokaPoka @ 391055ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(458.0-662)] with expected peak @ (x:458.0, y:100)
[PokaPoka @ 407382ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(461.0-656)] with expected peak @ (x:461.0, y:100)
[PokaPoka @ 423333ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(464.0-648)] with expected peak @ (x:464.0, y:100)
[PokaPoka @ 439446ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(467.0-638)] with expected peak @ (x:467.0, y:100)
[PokaPoka @ 455384ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(470.0-626)] with expected peak @ (x:470.0, y:100)
[PokaPoka @ 471509ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(473.0-612)] with expected peak @ (x:473.0, y:100)
[PokaPoka @ 488616ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(476.0-596)] with expected peak @ (x:476.0, y:100)
[PokaPoka @ 504965ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(479.0-578)] with expected peak @ (x:479.0, y:100)
[PokaPoka @ 901239ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(551.0-668)] with expected peak @ (x:551.0, y:100)
[PokaPoka @ 917322ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(554.0-668)] with expected peak @ (x:554.0, y:100)
[PokaPoka @ 934448ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(557.0-666)] with expected peak @ (x:557.0, y:100)
[PokaPoka @ 949813ms/28s/15m/16h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(560.0-662)] with expected peak @ (x:560.0, y:100)
