[PokaPoka @ 406407ms/10s/0m/1h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 48646ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(584.0-720)] with expected peak @ (x:584.0, y:100)
[PokaPoka @ 61614ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(587.0-720)] with expected peak @ (x:587.0, y:100)
[PokaPoka @ 74574ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(590.0-718)] with expected peak @ (x:590.0, y:100)
[PokaPoka @ 88909ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(593.0-714)] with expected peak @ (x:593.0, y:100)
[PokaPoka @ 103479ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(596.0-708)] with expected peak @ (x:596.0, y:100)
[PokaPoka @ 117397ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(599.0-700)] with expected peak @ (x:599.0, y:100)
[PokaPoka @ 130398ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(602.0-690)] with expected peak @ (x:602.0, y:100)
[PokaPoka @ 144325ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-678)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 157292ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-664)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 173246ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(611.0-648)] with expected peak @ (x:611.0, y:100)
[PokaPoka @ 188209ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(614.0-630)] with expected peak @ (x:614.0, y:100)
[PokaPoka @ 203166ms/11s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-610)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 138374ms/12s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(662.0-720)] with expected peak @ (x:662.0, y:100)
[PokaPoka @ 152822ms/12s/0m/1h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(659.0-720)] with expected peak @ (x:659.0, y:100)
