[PokaPoka @ 533308ms/30s/29m/14h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 21785ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(605.0-718)] with expected peak @ (x:605.0, y:100)
[PokaPoka @ 37679ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(608.0-718)] with expected peak @ (x:608.0, y:100)
[PokaPoka @ 53296ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(611.0-716)] with expected peak @ (x:611.0, y:100)
[PokaPoka @ 69720ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(614.0-712)] with expected peak @ (x:614.0, y:100)
[PokaPoka @ 85850ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-706)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 101897ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(620.0-698)] with expected peak @ (x:620.0, y:100)
[PokaPoka @ 117912ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(623.0-688)] with expected peak @ (x:623.0, y:100)
[PokaPoka @ 134091ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(626.0-676)] with expected peak @ (x:626.0, y:100)
[PokaPoka @ 152155ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(629.0-662)] with expected peak @ (x:629.0, y:100)
[PokaPoka @ 168387ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(632.0-646)] with expected peak @ (x:632.0, y:100)
[PokaPoka @ 185592ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(635.0-628)] with expected peak @ (x:635.0, y:100)
[PokaPoka @ 578471ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(707.0-718)] with expected peak @ (x:707.0, y:100)
[PokaPoka @ 594967ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(710.0-718)] with expected peak @ (x:710.0, y:100)
[PokaPoka @ 610618ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(713.0-716)] with expected peak @ (x:713.0, y:100)
[PokaPoka @ 626176ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(716.0-712)] with expected peak @ (x:716.0, y:100)
[PokaPoka @ 643714ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(719.0-706)] with expected peak @ (x:719.0, y:100)
[PokaPoka @ 660614ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(722.0-698)] with expected peak @ (x:722.0, y:100)
[PokaPoka @ 676412ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(725.0-688)] with expected peak @ (x:725.0, y:100)
[PokaPoka @ 693249ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(728.0-676)] with expected peak @ (x:728.0, y:100)
[PokaPoka @ 709500ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(731.0-662)] with expected peak @ (x:731.0, y:100)
[PokaPoka @ 725982ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(734.0-646)] with expected peak @ (x:734.0, y:100)
[PokaPoka @ 740394ms/46s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(737.0-628)] with expected peak @ (x:737.0, y:100)
[PokaPoka @ 131539ms/47s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(809.0-718)] with expected peak @ (x:809.0, y:100)
[PokaPoka @ 147772ms/47s/29m/14h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(812.0-718)] with expected peak @ (x:812.0, y:100)
