[PokaPoka @ 919091ms/35s/19m/18h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 888223ms/37s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(824.0-668)] with expected peak @ (x:824.0, y:100)
[PokaPoka @ 905471ms/37s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(827.0-668)] with expected peak @ (x:827.0, y:100)
[PokaPoka @ 922071ms/37s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(830.0-666)] with expected peak @ (x:830.0, y:100)
[PokaPoka @ 937491ms/37s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(833.0-662)] with expected peak @ (x:833.0, y:100)
[PokaPoka @ 953879ms/37s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(836.0-656)] with expected peak @ (x:836.0, y:100)
[PokaPoka @ 969779ms/37s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(839.0-648)] with expected peak @ (x:839.0, y:100)
[PokaPoka @ 986145ms/37s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(842.0-638)] with expected peak @ (x:842.0, y:100)
[PokaPoka @ 3131ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(845.0-626)] with expected peak @ (x:845.0, y:100)
[PokaPoka @ 19089ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(848.0-612)] with expected peak @ (x:848.0, y:100)
[PokaPoka @ 36280ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(848.0-596)] with expected peak @ (x:848.0, y:100)
[PokaPoka @ 52604ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(848.0-578)] with expected peak @ (x:848.0, y:100)
[PokaPoka @ 448432ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(779.0-668)] with expected peak @ (x:779.0, y:100)
[PokaPoka @ 466512ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(776.0-668)] with expected peak @ (x:776.0, y:100)
[PokaPoka @ 482029ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(773.0-666)] with expected peak @ (x:773.0, y:100)
[PokaPoka @ 498885ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(770.0-662)] with expected peak @ (x:770.0, y:100)
[PokaPoka @ 514845ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(767.0-656)] with expected peak @ (x:767.0, y:100)
[PokaPoka @ 531754ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(764.0-648)] with expected peak @ (x:764.0, y:100)
[PokaPoka @ 549064ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(761.0-638)] with expected peak @ (x:761.0, y:100)
[PokaPoka @ 565482ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(758.0-626)] with expected peak @ (x:758.0, y:100)
[PokaPoka @ 582184ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(755.0-612)] with expected peak @ (x:755.0, y:100)
[PokaPoka @ 598340ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(752.0-596)] with expected peak @ (x:752.0, y:100)
[PokaPoka @ 615302ms/38s/19m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(749.0-578)] with expected peak @ (x:749.0, y:100)
[PokaPoka @ 380197ms/49s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(350.0-668)] with expected peak @ (x:350.0, y:100)
[PokaPoka @ 396399ms/49s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(353.0-668)] with expected peak @ (x:353.0, y:100)
[PokaPoka @ 413451ms/49s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(356.0-666)] with expected peak @ (x:356.0, y:100)
[PokaPoka @ 430256ms/49s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(359.0-662)] with expected peak @ (x:359.0, y:100)
[PokaPoka @ 447752ms/49s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(362.0-656)] with expected peak @ (x:362.0, y:100)
[PokaPoka @ 464928ms/49s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(365.0-648)] with expected peak @ (x:365.0, y:100)
[PokaPoka @ 481062ms/49s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(368.0-638)] with expected peak @ (x:368.0, y:100)
[PokaPoka @ 497485ms/49s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(371.0-626)] with expected peak @ (x:371.0, y:100)
[PokaPoka @ 514269ms/49s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(374.0-612)] with expected peak @ (x:374.0, y:100)
[PokaPoka @ 531197ms/49s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(377.0-596)] with expected peak @ (x:377.0, y:100)
[PokaPoka @ 547790ms/49s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(380.0-578)] with expected peak @ (x:380.0, y:100)
[PokaPoka @ 714375ms/52s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(506.0-668)] with expected peak @ (x:506.0, y:100)
[PokaPoka @ 730070ms/52s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(509.0-668)] with expected peak @ (x:509.0, y:100)
[PokaPoka @ 746380ms/52s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(512.0-666)] with expected peak @ (x:512.0, y:100)
[PokaPoka @ 763270ms/52s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(515.0-662)] with expected peak @ (x:515.0, y:100)
[PokaPoka @ 779512ms/52s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-656)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 796225ms/52s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(521.0-648)] with expected peak @ (x:521.0, y:100)
[PokaPoka @ 812282ms/52s/20m/18h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-638)] with expected peak @ (x:524.0, y:100)
