[PokaPoka @ 198242ms/52s/47m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 627329ms/56s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(549.0-668)] with expected peak @ (x:549.0, y:100)
[PokaPoka @ 656215ms/56s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(552.0-668)] with expected peak @ (x:552.0, y:100)
[PokaPoka @ 707301ms/56s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(555.0-666)] with expected peak @ (x:555.0, y:100)
[PokaPoka @ 756404ms/56s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(558.0-662)] with expected peak @ (x:558.0, y:100)
[PokaPoka @ 802460ms/56s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(561.0-656)] with expected peak @ (x:561.0, y:100)
[PokaPoka @ 846355ms/56s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(564.0-648)] with expected peak @ (x:564.0, y:100)
[PokaPoka @ 896421ms/56s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(567.0-638)] with expected peak @ (x:567.0, y:100)
[PokaPoka @ 936385ms/56s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(570.0-626)] with expected peak @ (x:570.0, y:100)
[PokaPoka @ 980299ms/56s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(573.0-612)] with expected peak @ (x:573.0, y:100)
[PokaPoka @ 18467ms/57s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(576.0-596)] with expected peak @ (x:576.0, y:100)
[PokaPoka @ 61418ms/57s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(579.0-578)] with expected peak @ (x:579.0, y:100)
[PokaPoka @ 966080ms/58s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(714.0-618)] with expected peak @ (x:714.0, y:100)
[PokaPoka @ 1038ms/59s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(717.0-618)] with expected peak @ (x:717.0, y:100)
[PokaPoka @ 32039ms/59s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(720.0-616)] with expected peak @ (x:720.0, y:100)
[PokaPoka @ 69011ms/59s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(723.0-612)] with expected peak @ (x:723.0, y:100)
[PokaPoka @ 110866ms/59s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(726.0-606)] with expected peak @ (x:726.0, y:100)
[PokaPoka @ 147426ms/59s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(729.0-598)] with expected peak @ (x:729.0, y:100)
[PokaPoka @ 194273ms/59s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(732.0-588)] with expected peak @ (x:732.0, y:100)
[PokaPoka @ 239151ms/59s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(735.0-576)] with expected peak @ (x:735.0, y:100)
[PokaPoka @ 280089ms/59s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(738.0-562)] with expected peak @ (x:738.0, y:100)
[PokaPoka @ 313231ms/59s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(741.0-546)] with expected peak @ (x:741.0, y:100)
[PokaPoka @ 345254ms/59s/47m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(744.0-528)] with expected peak @ (x:744.0, y:100)
[PokaPoka @ 432235ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(714.0-668)] with expected peak @ (x:714.0, y:100)
[PokaPoka @ 472143ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(711.0-668)] with expected peak @ (x:711.0, y:100)
[PokaPoka @ 527294ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(708.0-666)] with expected peak @ (x:708.0, y:100)
[PokaPoka @ 573165ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(705.0-662)] with expected peak @ (x:705.0, y:100)
[PokaPoka @ 605191ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(702.0-656)] with expected peak @ (x:702.0, y:100)
[PokaPoka @ 639134ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(699.0-648)] with expected peak @ (x:699.0, y:100)
[PokaPoka @ 690102ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(696.0-638)] with expected peak @ (x:696.0, y:100)
[PokaPoka @ 747456ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(693.0-626)] with expected peak @ (x:693.0, y:100)
[PokaPoka @ 784381ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(690.0-612)] with expected peak @ (x:690.0, y:100)
[PokaPoka @ 813704ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(687.0-596)] with expected peak @ (x:687.0, y:100)
[PokaPoka @ 840286ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-578)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 869406ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(681.0-558)] with expected peak @ (x:681.0, y:100)
[PokaPoka @ 902031ms/1s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(681.0-536)] with expected peak @ (x:681.0, y:100)
[PokaPoka @ 604892ms/14s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(699.0-618)] with expected peak @ (x:699.0, y:100)
[PokaPoka @ 660994ms/14s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(702.0-618)] with expected peak @ (x:702.0, y:100)
[PokaPoka @ 697496ms/14s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(705.0-616)] with expected peak @ (x:705.0, y:100)
[PokaPoka @ 730510ms/14s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(708.0-612)] with expected peak @ (x:708.0, y:100)
[PokaPoka @ 768320ms/14s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(711.0-606)] with expected peak @ (x:711.0, y:100)
[PokaPoka @ 816084ms/14s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(714.0-598)] with expected peak @ (x:714.0, y:100)
[PokaPoka @ 849331ms/14s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(717.0-588)] with expected peak @ (x:717.0, y:100)
[PokaPoka @ 885282ms/14s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(720.0-576)] with expected peak @ (x:720.0, y:100)
[PokaPoka @ 929203ms/14s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(723.0-562)] with expected peak @ (x:723.0, y:100)
[PokaPoka @ 973797ms/14s/48m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(726.0-546)] with expected peak @ (x:726.0, y:100)
