[PokaPoka @ 158847ms/5s/43m/8h, 28d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 339373ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(567.0-668)] with expected peak @ (x:567.0, y:100)
[PokaPoka @ 366185ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(570.0-668)] with expected peak @ (x:570.0, y:100)
[PokaPoka @ 389681ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(573.0-666)] with expected peak @ (x:573.0, y:100)
[PokaPoka @ 416188ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(576.0-662)] with expected peak @ (x:576.0, y:100)
[PokaPoka @ 440159ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(579.0-656)] with expected peak @ (x:579.0, y:100)
[PokaPoka @ 470367ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(582.0-648)] with expected peak @ (x:582.0, y:100)
[PokaPoka @ 495471ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(585.0-638)] with expected peak @ (x:585.0, y:100)
[PokaPoka @ 524358ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(588.0-626)] with expected peak @ (x:588.0, y:100)
[PokaPoka @ 557336ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(591.0-612)] with expected peak @ (x:591.0, y:100)
[PokaPoka @ 593090ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(594.0-596)] with expected peak @ (x:594.0, y:100)
[PokaPoka @ 632080ms/6s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(597.0-578)] with expected peak @ (x:597.0, y:100)
[PokaPoka @ 221184ms/17s/43m/8h, 28d/6mo/2021y] --> Toggled developergui --> True
[PokaPoka @ 845650ms/41s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-618)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 889069ms/41s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-618)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 942499ms/41s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(681.0-616)] with expected peak @ (x:681.0, y:100)
[PokaPoka @ 1651ms/42s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(678.0-612)] with expected peak @ (x:678.0, y:100)
[PokaPoka @ 54715ms/42s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(675.0-606)] with expected peak @ (x:675.0, y:100)
[PokaPoka @ 99403ms/42s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(672.0-598)] with expected peak @ (x:672.0, y:100)
[PokaPoka @ 146344ms/42s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(669.0-588)] with expected peak @ (x:669.0, y:100)
[PokaPoka @ 191337ms/42s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(666.0-576)] with expected peak @ (x:666.0, y:100)
[PokaPoka @ 252803ms/42s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(666.0-562)] with expected peak @ (x:666.0, y:100)
[PokaPoka @ 330951ms/42s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(666.0-546)] with expected peak @ (x:666.0, y:100)
[PokaPoka @ 380584ms/42s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(666.0-528)] with expected peak @ (x:666.0, y:100)
[PokaPoka @ 965147ms/43s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-618)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 18575ms/44s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-618)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 80535ms/44s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-616)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 149518ms/44s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-612)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 219412ms/44s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-606)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 289470ms/44s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-598)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 367575ms/44s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-588)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 417281ms/44s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-576)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 460684ms/44s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-562)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 506228ms/44s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-546)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 549164ms/44s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-528)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 795073ms/45s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-618)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 856296ms/45s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-618)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 903246ms/45s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-616)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 955107ms/45s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-612)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 13474ms/46s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-606)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 69052ms/46s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-598)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 116333ms/46s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-588)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 177295ms/46s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-576)] with expected peak @ (x:684.0, y:100)
[PokaPoka @ 243780ms/46s/43m/8h, 28d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(684.0-562)] with expected peak @ (x:684.0, y:100)
