[PokaPoka @ 376482ms/19s/2m/19h, 27d/6mo/2021y] --> Beginning game startup and startup-finish
[PokaPoka @ 837946ms/19s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 853408ms/19s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 869366ms/19s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-666)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 885679ms/19s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-662)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 902706ms/19s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-656)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 919013ms/19s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-648)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 935860ms/19s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-638)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 952507ms/19s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-626)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 968769ms/19s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-612)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 985131ms/19s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-596)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 1511ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-578)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 431345ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 447745ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-668)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 464104ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-666)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 480240ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-662)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 496606ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-656)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 513438ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-648)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 529585ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-638)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 546780ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-626)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 563756ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-612)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 580022ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-596)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 596806ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(500.0-578)] with expected peak @ (x:500.0, y:100)
[PokaPoka @ 992616ms/20s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(518.0-668)] with expected peak @ (x:518.0, y:100)
[PokaPoka @ 9383ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(521.0-668)] with expected peak @ (x:521.0, y:100)
[PokaPoka @ 25110ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(524.0-666)] with expected peak @ (x:524.0, y:100)
[PokaPoka @ 41709ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(527.0-662)] with expected peak @ (x:527.0, y:100)
[PokaPoka @ 57671ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(530.0-656)] with expected peak @ (x:530.0, y:100)
[PokaPoka @ 74636ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(533.0-648)] with expected peak @ (x:533.0, y:100)
[PokaPoka @ 91776ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(536.0-638)] with expected peak @ (x:536.0, y:100)
[PokaPoka @ 107705ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(539.0-626)] with expected peak @ (x:539.0, y:100)
[PokaPoka @ 124854ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(542.0-612)] with expected peak @ (x:542.0, y:100)
[PokaPoka @ 142613ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(545.0-596)] with expected peak @ (x:545.0, y:100)
[PokaPoka @ 158682ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(548.0-578)] with expected peak @ (x:548.0, y:100)
[PokaPoka @ 619758ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(614.0-668)] with expected peak @ (x:614.0, y:100)
[PokaPoka @ 636907ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(617.0-668)] with expected peak @ (x:617.0, y:100)
[PokaPoka @ 652925ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(620.0-666)] with expected peak @ (x:620.0, y:100)
[PokaPoka @ 669660ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(623.0-662)] with expected peak @ (x:623.0, y:100)
[PokaPoka @ 686882ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(626.0-656)] with expected peak @ (x:626.0, y:100)
[PokaPoka @ 703868ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(629.0-648)] with expected peak @ (x:629.0, y:100)
[PokaPoka @ 720664ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(632.0-638)] with expected peak @ (x:632.0, y:100)
[PokaPoka @ 736914ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(635.0-626)] with expected peak @ (x:635.0, y:100)
[PokaPoka @ 754508ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(635.0-612)] with expected peak @ (x:635.0, y:100)
[PokaPoka @ 770960ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(635.0-596)] with expected peak @ (x:635.0, y:100)
[PokaPoka @ 787015ms/21s/2m/19h, 27d/6mo/2021y] --> Began jumping *Entity[rgb(255-255-255), size(50-50) @ pos(635.0-578)] with expected peak @ (x:635.0, y:100)
[PokaPoka @ 968233ms/21s/2m/19h, 27d/6mo/2021y] --> Attempted to QUIT @ Esc key
[PokaPoka @ 968233ms/21s/2m/19h, 27d/6mo/2021y] --> Shutting down (2nd to last) final!
[PokaPoka @ 968233ms/21s/2m/19h, 27d/6mo/2021y] --> Exported game log as PokaPoka_933870_18_2_19_27_6_2021.log
